,row_A3_data
HSPA8,2.6876930288233117e-05
IL22,2.5254595721336104e-05
GBP2,2.1318647429069193e-05
TUBA1B,1.5745927585485045e-05
PKM,1.5225206832771183e-05
MIF,1.2924407506578707e-05
LDHA,1.2533121019213568e-05
ALDOA,1.198002075029439e-05
CRABP2,8.238373696337798e-06
KPNA2,7.66815134364509e-06
GADD45G,7.263107891024316e-06
TPI1,7.185737268646314e-06
HSP90AB1,6.587951608600956e-06
UBE2C,6.327955641350445e-06
EIF5A,6.040356227006663e-06
PSMB8,5.541959566738547e-06
CHPT1,5.501024261230605e-06
CHURC1,5.491270648378091e-06
IL12RB2,5.32415043539542e-06
RPL3,5.303390055152877e-06
TUBB5,4.849732071707258e-06
TMEM254C,4.643033348217418e-06
CALM2,4.637114402104953e-06
BATF,4.316736852027295e-06
PARK2,4.123671837431608e-06
CD28,4.039314316223463e-06
ENO1,3.9717172084967e-06
CCNB1,3.964462446516198e-06
HIST1H2AG,3.842048640833201e-06
CCT5,3.4036854192330567e-06
RPL36,3.2635892544600716e-06
RPS11,3.198248497306356e-06
PGK1,3.1505646964748515e-06
TUBB4B,3.071738270570835e-06
CHCHD2,3.056750719214406e-06
NPM1,3.0417278679653224e-06
PGAM1,2.998059051750307e-06
IL23R,2.92361007988962e-06
HSPD1,2.709815623200432e-06
FDPS,2.6204057212222287e-06
LY6E,2.5767586519940945e-06
TNFRSF8,2.4898455389646554e-06
UQCR11,2.4859550275532633e-06
PSMA3,2.483234881512775e-06
ARMCX6,2.443175408977362e-06
ISYNA1,2.278860591418011e-06
TMEM109,2.1802613803333348e-06
SOD1,2.1189650608892773e-06
SNRPB,2.087278802477133e-06
NOP10,2.0336209761054287e-06
RNH1,2.0326371338842293e-06
RPL8,1.985482702695674e-06
GAPDH,1.970731354993686e-06
TESC,-1.9440792465834922e-06
MOAP1,-1.9460926894927537e-06
XIAP,-1.9707868683054113e-06
GOLM1,-1.9719684400007016e-06
ST3GAL4,-1.9737094225144623e-06
WBSCR16,-1.9797569309321677e-06
UCK2,-2.0013020651371397e-06
PITHD1,-2.014780538815837e-06
TMEM176A,-2.015172740507951e-06
SOCS2,-2.038355566131866e-06
GRAP,-2.064695197315563e-06
S100A10,-2.065857593454836e-06
CD52,-2.146537977592097e-06
PAK1IP1,-2.221252786156026e-06
REXO2,-2.2256096458798636e-06
NINJ1,-2.239822128803535e-06
ADAM19,-2.2508007514977115e-06
MGAT2,-2.2752988897350744e-06
1110008F13RIK,-2.337042846921036e-06
RPL12,-2.3413937949031636e-06
ANXA3,-2.4041271355869086e-06
FAM129B,-2.4134165113321097e-06
LSM4,-2.4210064766550237e-06
RHOF,-2.4236683228695465e-06
ZFP46,-2.435679818774096e-06
ENDOD1,-2.4725042472128034e-06
LGALS3,-2.481053705694051e-06
RGS16,-2.5112902225759624e-06
CPD,-2.5191699457219373e-06
TNFSF4,-2.569974351921131e-06
ITGB1,-2.571598778757751e-06
BCL2A1D,-2.575439075483686e-06
TES,-2.6381989496554213e-06
PDCD1,-2.648298794939612e-06
NIPAL1,-2.7092117206557856e-06
PPP4C,-2.7865058248568334e-06
SPSB1,-2.7952814197157274e-06
FOXP1,-2.8373655783501588e-06
ZBTB32,-2.8413480471360578e-06
TNIP2,-2.8431345689447814e-06
TMEM176B,-2.8502774436686733e-06
INTS4,-2.852111609303477e-06
MS4A4B,-2.8794738747374896e-06
SH3BGRL3,-2.882955862921052e-06
APOO-PS,-2.909913665834137e-06
PERP,-2.9155182649250282e-06
TUBB6,-2.93956467758817e-06
DCXR,-2.94952453207421e-06
RPS27L,-2.999089547842343e-06
KCTD14,-3.0138575032930583e-06
BAX,-3.0781216459977454e-06
RPS20,-3.092269651992267e-06
CD5L,-3.1293269139797685e-06
RELB,-3.1565244096249766e-06
GLIPR1,-3.1610508492319134e-06
2700094K13RIK,-3.166976884098736e-06
TNFRSF4,-3.1738706761780312e-06
ME2,-3.2036101317856736e-06
PENK,-3.2678403114249095e-06
RPLP1,-3.269691595450639e-06
ID1,-3.269893083569455e-06
CD69,-3.3102211759883828e-06
FXYD5,-3.3162731340524102e-06
PROCR,-3.33223230540014e-06
TNFSF11,-3.544243746067815e-06
AA467197,-3.626831024410581e-06
RRM2,-3.6814284340261653e-06
CRIP1,-3.7795042922034877e-06
RAP1B,-3.814988882882682e-06
NFKBID,-3.955750393969556e-06
IL10,-4.0013752828667945e-06
RPL23A,-4.044680178764187e-06
PIP5K1A,-4.066709009714542e-06
MAF,-4.184511881246249e-06
GPR15,-4.2420850042151775e-06
EIF2S3Y,-4.263270331663042e-06
TNF,-4.277337557018822e-06
XLR4B,-4.368637762758359e-06
APLP2,-4.372213398907287e-06
CCNG1,-4.455433455561768e-06
RPS24,-4.533320226959565e-06
HCLS1,-4.549399372120447e-06
GPX1,-4.641279749289975e-06
GALNT11,-4.892118911893477e-06
CCR8,-4.93179030692403e-06
SEPW1,-5.02611136277367e-06
ACSBG1,-5.47570261307081e-06
B4GALT1,-5.591424180567966e-06
IER2,-5.60306582025574e-06
VAPA,-5.742369479697241e-06
EMP1,-5.774585627499063e-06
ACTB,-5.827502711673257e-06
FTH1,-5.8982576462980444e-06
MAPKAPK3,-5.945566174576729e-06
RAPGEF4,-6.0576546924575e-06
1500012F01RIK,-6.347567906518973e-06
RNF187,-6.465661650641428e-06
APOL9B,-6.467241109234074e-06
LPXN,-6.485632246493623e-06
CYP11A1,-6.514455843884969e-06
ANP32B,-6.662050529491552e-06
EIF3F,-6.667022646980586e-06
TPT1,-6.730826925415158e-06
LAT,-7.159603604417734e-06
NT5E,-7.465494960818816e-06
