,row_A5_data
MIF,4.1697176255651666e-05
HSPA8,2.934279460332852e-05
GBP2,2.5734833924360394e-05
IL22,2.101733532615096e-05
ALDOA,1.850515428812095e-05
PKM,1.1778385313506167e-05
GAPDH,1.0857850240245283e-05
TUBA1B,1.0387204966247283e-05
HSP90AB1,9.555764559150161e-06
EEF1A1,8.971432866009238e-06
KPNA2,8.81097591811858e-06
DDT,7.981642458415986e-06
GSTT2,7.854691990040606e-06
IL12RB2,7.5834709717500216e-06
RPL8,6.912513356324685e-06
TPI1,6.907759707044974e-06
UBE2C,6.738587706508705e-06
BATF,6.366984206492421e-06
EIF4A1,6.092561776229087e-06
ENO1,5.6663464389895526e-06
RPS11,5.651918922889459e-06
LDHA,5.439334365809386e-06
GNB2L1,5.299911778087823e-06
RPS27A,5.2576564592627905e-06
TUBB4B,5.136725792851356e-06
RPL3,5.084803826824107e-06
RPS18,4.863812810666806e-06
CHPT1,4.839429431354245e-06
COX4I1,4.7443408085658174e-06
RPL10,4.675190611672962e-06
CCNB1,4.5850431538272635e-06
FDPS,4.558916749647406e-06
RPSA,4.511260693406557e-06
RPL18,4.502353521048378e-06
PGK1,4.340038457222706e-06
CHURC1,4.265316850657718e-06
EIF5A,3.995812074994806e-06
SOD1,3.966830021455845e-06
PHGDH,3.944131864430733e-06
GADD45G,3.866971593832517e-06
GBP3,3.831009345813983e-06
RPS5,3.825450847058469e-06
TMEM97,3.7768319688157824e-06
PARK2,3.7713845219376588e-06
TNFRSF8,3.7002133123195954e-06
PSAT1,3.6926609507394634e-06
PLK1,3.6402095607990784e-06
CALM2,3.479338937557821e-06
PSMB8,3.469544008371401e-06
RPL18A,3.4042481539715434e-06
RPS8,3.3831633712867726e-06
TMEM254C,3.119121186501202e-06
RPL36,3.0363607000826116e-06
EEF2,3.02632224201204e-06
RPL7A,2.98341843019656e-06
TBL3,2.9531578379383306e-06
ACTG1,2.8394803607297e-06
ISYNA1,2.823325069572141e-06
RNH1,2.8055430687777165e-06
FABP5,2.7436824895706944e-06
RPL41,-2.7417652433996055e-06
PLK2,-2.743135291479723e-06
TESC,-2.8458053920440567e-06
MYL12A,-2.87466397520558e-06
TRAPPC6B,-2.875937558067584e-06
RPS27,-2.9014402590340273e-06
POLR2M,-2.925538063465846e-06
2310036O22RIK,-2.9316749909015805e-06
NDFIP1,-2.9694993964022204e-06
PPP4C,-2.986591295359706e-06
NOL7,-3.0073688620708248e-06
CRIP1,-3.0157550865934617e-06
PTPN22,-3.0717348641481283e-06
LTB,-3.0825977801191825e-06
RPL37A,-3.0835787907982726e-06
TBCA,-3.1085106367057284e-06
CCHCR1,-3.1395466893372415e-06
HCLS1,-3.1487913354851337e-06
GLTP,-3.1636306951367684e-06
RPS26,-3.1691477183253203e-06
TMEM176A,-3.2111469383108732e-06
ZFP740,-3.220391745054879e-06
1110007C09RIK,-3.2343130267435477e-06
SERPINB6B,-3.236006339173364e-06
CD52,-3.2385137658471992e-06
ANXA4,-3.2686144071324147e-06
MLF2,-3.3178816478694014e-06
ME2,-3.3317321112163626e-06
B2M,-3.340769712625009e-06
PITHD1,-3.477127003856087e-06
TIMP1,-3.4951957685600403e-06
UBE2D3,-3.5035893512299853e-06
MRPS6,-3.520184931804479e-06
