,row_A8_data
HSPA8,4.977055779667195e-05
ACTG1,2.814418981092687e-05
HSPD1,2.2921668414249235e-05
LY6A,2.259013583525652e-05
NPM1,2.0792595648420453e-05
TUBA1B,2.036111967510616e-05
MIF,1.8898107881405003e-05
NCL,1.834541156621011e-05
ENO1,1.7954296059338704e-05
HNRNPA1,1.5048753973984086e-05
HSP90AB1,1.4885392034329577e-05
IL22,1.4207597846690835e-05
PSMB8,1.3312216769887587e-05
CD200,1.2874654410357683e-05
ACTB,1.1198043316886099e-05
GAPDH,1.0588543305191839e-05
BATF,1.036771870292251e-05
SET,9.858418246916104e-06
IFITM3,8.766904782332339e-06
HSP90AA1,8.576832691830345e-06
EEF2,8.276580765656283e-06
EIF5A,8.14663339411194e-06
PTMA,7.789862029687882e-06
IFITM2,7.224117303968636e-06
EEF1A1,7.130269296880037e-06
PGAM1,7.007299051533085e-06
ALDOA,6.807789435218968e-06
STRA6,6.795307130596478e-06
SLC25A5,6.7478284304373765e-06
PA2G4,6.713861794982336e-06
FKBP4,6.680141507959915e-06
MYBBP1A,6.489867213504504e-06
STAT5A,6.1122593842305335e-06
SEPW1,6.000600823725787e-06
C1QBP,5.936006131405407e-06
MBNL1,5.5281568475289955e-06
PKM,5.460745150702743e-06
HSPA9,5.4360160626199436e-06
PLK1,5.3154168883169405e-06
DDX39,5.293432505331881e-06
CCT6A,4.9661256666627985e-06
HVCN1,4.742022671480622e-06
CCT3,4.731649984843183e-06
APEX1,4.653090006510557e-06
TUBB5,4.653005446942916e-06
LDHA,4.643570727679827e-06
EIF4A1,4.418580571834312e-06
RSL1D1,4.366785767338822e-06
CFL1,4.316892146508488e-06
CCT5,4.274404347171414e-06
BOP1,4.0588964239134866e-06
CCT8,4.030146474277335e-06
GALK1,3.935513006642882e-06
STIP1,3.858129630303571e-06
SHMT1,3.760331477261358e-06
AHSA1,3.6621439668192398e-06
LYAR,3.620354718676374e-06
MTHFD2,3.6034282234679354e-06
CACYBP,3.537534445743239e-06
IMPDH2,3.536801404551927e-06
KPNA2,3.535402084578563e-06
NOP2,3.5077315363551926e-06
RPL3,3.428279237005028e-06
NOLC1,3.3787866910897235e-06
GBP2,3.3245073370563217e-06
CCT7,3.2941995072749102e-06
FDPS,3.2817798382547744e-06
RILPL2,3.2765262093547022e-06
TFRC,3.2699366479673797e-06
LGALS3BP,3.2653699279873397e-06
TMEM97,3.229623019070486e-06
ACTR3,3.194307097367315e-06
EIF4H,3.1909983769087144e-06
LY6C1,3.1403735462925533e-06
TMEM109,3.1383344394531205e-06
RBM42,-3.144123302937277e-06
MAPKAPK3,-3.1780895310503836e-06
APOO-PS,-3.200597655515845e-06
RPL26,-3.2872099914828994e-06
DYNLT1B,-3.2909440147372498e-06
PENK,-3.293494078966779e-06
MS4A4B,-3.323781464083031e-06
TESC,-3.3571642795847614e-06
MMGT2,-3.3588912953149946e-06
RPL12,-3.4147702016268735e-06
NDUFA7,-3.414871589499255e-06
PROCR,-3.422987299136656e-06
SWI5,-3.4293359724794757e-06
MYL6,-3.4310561686323824e-06
CLIC1,-3.4948947866443597e-06
MGST3,-3.514683775429246e-06
DUSP4,-3.542348488087686e-06
SMIM3,-3.616914941184897e-06
MRPS6,-3.6206534224527075e-06
TMEM176B,-3.646672258003333e-06
SLC4A11,-3.657295991004652e-06
TUBB6,-3.6638327150271463e-06
ACSBG1,-3.780983199915139e-06
1110007C09RIK,-3.8125417407728233e-06
COX6C,-3.8174620221539075e-06
MAF,-3.902037998594624e-06
TMEM176A,-3.918888363233063e-06
CTLA4,-3.943934940835747e-06
MRPL33,-3.998934677050812e-06
MAP1LC3B,-4.041561172269431e-06
APLP2,-4.078361556867654e-06
UBA52,-4.279442123737243e-06
IL10,-4.328849320137129e-06
LAMP1,-4.407935645395426e-06
IER2,-4.435375531593944e-06
AKTIP,-4.477087829499348e-06
RPS29,-4.5036327707807675e-06
GPR15,-4.576572141179611e-06
SRM,-4.636276557929858e-06
ANXA2,-4.648756390639786e-06
B4GALT1,-4.685573269428037e-06
RPS25,-4.831398108126755e-06
SOCS2,-4.835301458826036e-06
RPS16,-4.905486993083495e-06
ATP5E,-4.910038521626602e-06
KCTD14,-4.962493031207422e-06
TPT1,-4.9731867189047095e-06
LSM4,-5.024578189165909e-06
S100A10,-5.057729179981745e-06
SRSF2,-5.135242066957463e-06
SNRPG,-5.4609571804289985e-06
RPS20,-5.614548478598657e-06
UBB,-5.6416761581249965e-06
TSPO,-5.698694907877432e-06
APOL9B,-5.73389189591301e-06
EMP1,-5.774585627499063e-06
ANP32B,-5.9186611715432755e-06
TGM2,-5.983276819574523e-06
TFPT,-6.403465438914333e-06
RPL23A,-6.4892642727619975e-06
RPL35A,-6.611305693811405e-06
RGCC,-6.876467157904645e-06
CISH,-7.165936138293691e-06
RNF187,-7.193464794271265e-06
AA467197,-7.325545552579474e-06
CRIP1,-7.5889214280276985e-06
1500012F01RIK,-7.61393980255593e-06
PHLDA3,-7.669335859249592e-06
CYP11A1,-7.715776113737186e-06
NDUFA4,-7.822435644625213e-06
IRF8,-7.849621430480278e-06
ZFYVE21,-8.2296674794004e-06
CNDP2,-8.301707921957018e-06
MYL12B,-8.683488892503654e-06
FTL1,-8.696539589406291e-06
CCR7,-8.79752303836581e-06
TBCA,-8.80096571098874e-06
EIF3F,-8.94135689073024e-06
USMG5,-9.436022053936391e-06
NT5E,-9.966934444115184e-06
H3F3B,-1.0024069354735941e-05
SERPINE2,-1.0358788181648862e-05
RPL35,-1.0561840835577024e-05
RPS24,-1.0926810534324686e-05
IL17A,-1.1159555897739912e-05
PLP2,-1.14551943294048e-05
PPIA,-1.1786872220903425e-05
RGS1,-1.1979418918804405e-05
ASS1,-1.2377737707039804e-05
DUSP2,-1.28961645949804e-05
SERPINB1A,-1.3139856884785491e-05
PDPN,-1.3301790107081415e-05
TMSB10,-1.368715300921594e-05
SGK1,-1.3846013167615336e-05
CTLA2B,-1.4264409136235198e-05
FOXP3,-1.4380167115611396e-05
RPL34,-1.4720683428309436e-05
RPL32,-1.5231259107815462e-05
OLFM2,-1.5595966813508737e-05
CDKN1A,-1.6492019939126092e-05
IL2,-1.7605244999392998e-05
TNFRSF13B,-1.7943879911055403e-05
RPS27,-1.7960290259424403e-05
FTH1,-1.83091347819441e-05
RPS19,-1.8791886878108405e-05
RPL39,-1.8837838081189553e-05
RAC1,-1.892880315733198e-05
RPLP1,-1.8963457668971448e-05
CCL20,-1.9475308898360865e-05
IGFBP4,-2.7453101882328362e-05
LGALS1,-2.8302736010214514e-05
CTSW,-2.90227260713663e-05
RPS12,-3.2749045702697426e-05
RPS27L,-3.445035840532083e-05
TIMP1,-3.745591593127657e-05
TMSB4X,-3.792836899955168e-05
CTLA2A,-4.207239709921992e-05
CAPG,-4.570161720236795e-05
RPL41,-5.3048154138431495e-05
IL17F,-6.416664206258614e-05
RPS2,-7.357901207525263e-05
AQP3,-7.678446466267862e-05
VIM,-8.498990281129021e-05
LTA,-8.621548042920528e-05
IL9,-0.0003028061261505869
