,row_A7_data
ACTG1,4.6323439463145965e-05
LY6A,3.389440321376885e-05
HSPA8,2.6609329434612485e-05
MIF,2.2733818609295625e-05
EIF5A,1.8091187762350915e-05
TUBA1B,1.7868072521087265e-05
CHURC1,1.2977965959912516e-05
ALDOA,1.1954702870879284e-05
CHPT1,1.090846299710572e-05
GBP2,1.0205664416597994e-05
PSMB8,1.0056871785940109e-05
DDX39,8.767620073804686e-06
PARK2,8.442013421004669e-06
SEPW1,7.794190205702392e-06
HSP90AB1,7.636195678230664e-06
RPS11,7.404982977727236e-06
NPM1,7.1833557737791866e-06
BATF,7.152757927828526e-06
RPL3,6.451866434021111e-06
HSPD1,6.068433971575767e-06
GAPDH,5.934809625021201e-06
CCT5,5.80461784607797e-06
RPL8,5.54539364041966e-06
IFITM2,5.387785879904536e-06
RPS27A,5.3385995659341e-06
EMP3,5.300651553818575e-06
RPL6,5.122980130724204e-06
ENO1,5.063330140995422e-06
LDHA,5.039732118595027e-06
GALK1,4.90907947120087e-06
RPS13,4.7677690368857985e-06
IL1RN,4.73808101025429e-06
CNN2,4.699897168751803e-06
PHGDH,4.6701480793987806e-06
ERH,4.604345590387903e-06
CD52,4.255001847739917e-06
DOHH,4.163681559270637e-06
IL22,4.149536129927122e-06
PFN1,4.148295827908734e-06
NCL,4.000969141163556e-06
NHP2,3.969113466869332e-06
KPNA2,3.959247970004089e-06
PGAM1,3.911303172239426e-06
GPX1,3.807282546351244e-06
COX4I1,3.7371344238940215e-06
TCOF1,3.7301683597500845e-06
TK1,3.7290967149184337e-06
TMEM97,3.7110193098547462e-06
GADD45G,3.6817711717852713e-06
C1QBP,3.624327793342306e-06
SLC25A5,3.617969805057403e-06
SLC19A1,3.6124531725068837e-06
SET,3.5544901582660942e-06
PSMA7,3.553641444520124e-06
PKM,3.5133063653481212e-06
RAN,3.4783622060853927e-06
ATP5G1,3.4500131908888067e-06
IFITM3,3.4468097620598118e-06
TMEM109,3.4000812695845827e-06
TOMM5,3.374125200534414e-06
STRA6,3.300856492505367e-06
TOMM40,3.2748816767169895e-06
CORO1A,3.1928651201207565e-06
NAA10,3.1766893595653975e-06
FAU,3.174721794583054e-06
PHB2,3.168301709213183e-06
APEX1,3.1674408622464135e-06
SHMT2,3.1605033913216893e-06
IMPDH2,3.155893243070635e-06
USMG5,-3.0919784927691793e-06
FTSJ1,-3.0931564291386768e-06
RGS10,-3.100180874163885e-06
PROCR,-3.1028193195158914e-06
PENK,-3.1054775700427526e-06
MS4A4B,-3.1119026710263112e-06
