,row_A6_data
LY6A,3.6312296832990195e-05
MIF,2.4517706305346725e-05
HSPA8,2.2288201172422552e-05
ACTG1,2.107500813934408e-05
GBP2,1.7741634545630218e-05
CD52,1.5477860406540504e-05
EIF5A,1.4222570321563915e-05
IFITM2,1.3497194666285515e-05
IFITM3,1.1845853075243027e-05
TUBA1B,1.0531887262872505e-05
RPL3,1.0136076044930931e-05
ALDOA,8.235302428537283e-06
PSMB8,7.993151486000857e-06
RPS11,7.631319095832489e-06
CD200,7.096475159464517e-06
RPS13,6.965242343364233e-06
SEPW1,6.730904585288448e-06
RPL6,5.854376343540277e-06
EMP3,5.6793880375823325e-06
DDX39,5.634955694134982e-06
NPM1,5.586420345852469e-06
RPS27A,5.579201412967476e-06
TCOF1,5.414971172507932e-06
CCT5,5.186810124192286e-06
MS4A6B,5.179003051967227e-06
CNN2,4.700817150546961e-06
LDHA,4.530318695782396e-06
NACA,4.398630398946119e-06
ENO1,4.116477860199557e-06
CHURC1,4.0542783002809514e-06
RAN,3.885535691990991e-06
FDPS,3.856907723437484e-06
ACTB,3.801450075290296e-06
HVCN1,3.7185015410909023e-06
CST7,3.686497537930792e-06
CHPT1,3.684785640217115e-06
HSPD1,3.66646739148622e-06
NHP2,3.6488819485048783e-06
BATF,3.6393664236244785e-06
NOP10,3.470415222435691e-06
SLC25A5,3.4506042281185373e-06
RPL34,3.4080637094043346e-06
SET,3.3753989234529063e-06
COX4I1,3.2469911234267205e-06
CORO1A,3.179847575638517e-06
RPL8,3.1701961741831383e-06
PSMA6,3.1564047078083305e-06
CCND3,3.1536110923216614e-06
PGAM1,3.1217986068474808e-06
TOMM5,3.0850702797843404e-06
RPL27,3.017793918686857e-06
CD28,2.966998522422893e-06
GPX1,2.9669462114510954e-06
NCL,2.8610906336318915e-06
CFL1,2.8291542881313123e-06
FAU,2.7727340380239335e-06
LCP1,2.7697988964360453e-06
RPS14,2.7599972205624116e-06
HSP90AB1,2.730445083992661e-06
SLAMF6,2.711793272561732e-06
RALY,-2.712934171952871e-06
RPS27,-2.7369217289763427e-06
RPLP0,-2.783258881385896e-06
FTL1,-2.8382213994387017e-06
A830080D01RIK,-2.8385836321841045e-06
CCL4,-2.8435241970732654e-06
2310036O22RIK,-2.865703260388828e-06
MICU2,-2.868399996683349e-06
DONSON,-2.884813899653487e-06
RNASET2B,-2.901356221003051e-06
ID1,-2.917830429272384e-06
ACBD6,-2.979483810556367e-06
TMEM176A,-3.051953014709145e-06
RPS28,-3.0567921520914597e-06
CLASP2,-3.0700029970362844e-06
EIF1,-3.109729068201637e-06
KCTD14,-3.1127410874725715e-06
POLE4,-3.1520319171936327e-06
COX6C,-3.1536705767671916e-06
S100A11,-3.1879635890297992e-06
MGAT2,-3.196884515895897e-06
TES,-3.2147539205518426e-06
TESC,-3.2253963593315504e-06
1110008F13RIK,-3.257744677408669e-06
MAP2K3,-3.2769607429245037e-06
INTS4,-3.2771822739435135e-06
PPP4C,-3.290130695567315e-06
IKBKB,-3.3465811557761462e-06
IL2RA,-3.385946946513867e-06
PENK,-3.388911993400353e-06
MAPKAPK3,-3.396519319299492e-06
RAP1B,-3.4287809257356357e-06
TNFRSF4,-3.4424687718454634e-06
CRIP1,-3.4643790917954028e-06
EIF4A1,-3.499195794079546e-06
GATM,-3.5056861605688994e-06
SLC19A2,-3.5280788491780743e-06
ITM2B,-3.5382469467354017e-06
LUM,-3.5636465732446514e-06
TAGAP1,-3.572314289588424e-06
GPR15,-3.581612701225944e-06
CD81,-3.613062894094166e-06
PANX1,-3.6247814889701595e-06
FUS,-3.6502313571659138e-06
CKS2,-3.6899003577290374e-06
YIPF4,-3.6944478821120663e-06
B4GALT1,-3.7488065530373118e-06
TSPAN13,-3.789518871548626e-06
FBL,-3.809861404783397e-06
CISH,-3.8134796213006006e-06
POLR2M,-3.825110298652612e-06
RPL23A,-3.8669404919534065e-06
TMEM30A,-3.8713559936468814e-06
PROCR,-3.956185588835571e-06
TMEM176B,-3.984937930335857e-06
TRAPPC6B,-4.000941284217955e-06
NSUN2,-4.0139315254114e-06
DUSP4,-4.095617207285878e-06
IL22,-4.154458757121458e-06
ACSBG1,-4.192101260431177e-06
1500012F01RIK,-4.193507710025089e-06
CCNG1,-4.2062674049296e-06
RBM42,-4.258309163867747e-06
MAF,-4.259987134979382e-06
IL10,-4.328849320137129e-06
RPS12,-4.3615883276361145e-06
TBCA,-4.520295185735153e-06
TMEM160,-4.575113545863765e-06
SMIM3,-4.9450590333770815e-06
UCK2,-4.964293159328527e-06
B2M,-5.1005982165383735e-06
UBB,-5.153066653289641e-06
TNFSF11,-5.185176859079546e-06
1110007C09RIK,-5.338004265728657e-06
CCR7,-5.591876053414071e-06
MYL12B,-5.6081614378845765e-06
LAMP1,-5.7718860867635565e-06
EMP1,-5.774585627499063e-06
LSM4,-5.778025684497543e-06
RPLP1,-6.165345099852753e-06
MT2,-6.196556005596932e-06
TMED2,-6.21652887629364e-06
CYP11A1,-6.276478152422361e-06
APLP2,-6.363088723384828e-06
APOL9B,-6.467241109234074e-06
AA467197,-6.830958770946545e-06
CNDP2,-6.896304328132962e-06
TPT1,-7.064523502195395e-06
ANXA2,-7.294158282333158e-06
LGALS1,-7.721670966138589e-06
SERPINE2,-7.819468306058474e-06
MT1,-7.848884026142247e-06
PLP2,-8.062254618382461e-06
NT5E,-8.133035421580086e-06
RGS1,-8.272664995535408e-06
GM20594,-8.396564755022132e-06
PHLDA3,-8.400522702814802e-06
TMSB10,-8.426995678638012e-06
TMSB4X,-8.75508853298855e-06
IRF8,-9.337316816890761e-06
VAPA,-9.377247070878684e-06
SGK1,-9.406135707684894e-06
IGFBP4,-9.694970759353293e-06
RPS27L,-1.0149564162210845e-05
ASS1,-1.0234848220822428e-05
SRGN,-1.0513414395712758e-05
SERPINB1A,-1.0551822533130827e-05
IER2,-1.0675668263489296e-05
TUBB6,-1.3186502254364064e-05
PDPN,-1.3301790107081415e-05
ANP32B,-1.373954931446437e-05
H3F3B,-1.3928484338139981e-05
FTH1,-1.410730225290984e-05
FOXP3,-1.4380167115611396e-05
CCL20,-1.546332709804306e-05
OLFM2,-1.5595966813508737e-05
RNF187,-1.5739140019661792e-05
CTLA2B,-1.78639474860052e-05
RPS29,-1.7973226754740485e-05
CDKN1A,-1.876407330899793e-05
EIF3F,-1.9365951969158574e-05
RPL39,-2.016738347441582e-05
TNFRSF13B,-2.0582735142296014e-05
RAPGEF4,-2.1888063326868758e-05
SRM,-2.2066683669692407e-05
RAC1,-2.260252356622195e-05
DUSP2,-2.3822873023127846e-05
RPL41,-2.405511433514908e-05
CTSW,-2.5667859591993556e-05
IL17A,-2.8541509198693942e-05
CTLA2A,-3.067103001451083e-05
CAPG,-4.1497720735128696e-05
IL2,-4.9486628017945164e-05
AQP3,-7.468394166617753e-05
TIMP1,-8.741460113281295e-05
VIM,-8.799512720669315e-05
LTA,-8.858011213315256e-05
RPS2,-0.00021231703937254955
IL9,-0.00029058246488562723
IL17F,-0.00030441750848411963
