,row_A1_data
HSPA8,2.7985416441239576e-05
IL22,2.1124009753309803e-05
GBP2,1.9915444131984216e-05
NPM1,1.5763263504733785e-05
CHURC1,1.5689620040378638e-05
ACTG1,1.4875682131919305e-05
CHPT1,1.0115759396342346e-05
CD82,9.943471932197968e-06
KPNA2,9.793616740147199e-06
ALDOA,9.28909535968945e-06
ACTB,9.274699292045283e-06
MIF,8.130237173289463e-06
PARK2,7.620907990611977e-06
TUBA1B,7.370261394129356e-06
SLC25A5,6.640295645193796e-06
LDHA,6.601214156959839e-06
HSPD1,6.271645161026065e-06
RPS18,6.129478890467573e-06
EIF4A1,5.237790589760369e-06
IL12RB2,5.2286039121483265e-06
LY6A,5.221484446878097e-06
CD6,5.14632036918775e-06
CD200,5.003157177347519e-06
CD53,4.858336570964597e-06
CD28,4.6423993531615905e-06
PKM,4.64096059308371e-06
CCNB1,4.532911841579019e-06
GADD45G,4.303048518052924e-06
HSP90AB1,4.301006861415636e-06
UBE2C,4.203359876739344e-06
RPL3,4.1466516275907915e-06
1110008F13RIK,-4.113538572221416e-06
MARCKSL1,-4.15637569549291e-06
NFATC2,-4.165417404386618e-06
CLASP2,-4.1755620068849325e-06
SLC35B2,-4.19848850370927e-06
PRKCH,-4.216610632669378e-06
TRAF4,-4.231625435282173e-06
CRIP1,-4.240689505912733e-06
RALY,-4.244493703783183e-06
MAPKAPK3,-4.246776443705561e-06
SH3BGRL3,-4.272792671745532e-06
GPR15,-4.2813642112384585e-06
PGS1,-4.336939716973272e-06
ZFP593,-4.34757527932693e-06
CCR8,-4.378041741062175e-06
TMEM176B,-4.406575698163265e-06
SDCCAG3,-4.426510378918127e-06
SERBP1,-4.452313926925434e-06
GGNBP2,-4.5171428328581975e-06
THAP11,-4.524691888520641e-06
RAB6A,-4.623499835272936e-06
SIPA1,-4.656959104281224e-06
KCTD14,-4.672231503581114e-06
DESI1,-4.710425474091467e-06
TMEM238,-4.769735644842932e-06
ASF1A,-4.825329067827164e-06
GLTP,-4.834855967308326e-06
NENF,-4.883673793549619e-06
CCNL2,-4.959203081373323e-06
CACTIN,-4.974700686612625e-06
MTX2,-5.044558199592666e-06
EMC10,-5.065896658445303e-06
SCAND1,-5.0790932376168205e-06
PDCD2,-5.09635071490374e-06
LPXN,-5.097023137582676e-06
EIF3J1,-5.108216254539713e-06
LMNB1,-5.133437878772473e-06
TUBB6,-5.1582961033770035e-06
MGAT2,-5.197592896042981e-06
TMEM192,-5.3200237739806105e-06
TRIM27,-5.382735787187643e-06
ANKRD54,-5.387969930563271e-06
ELAC2,-5.393182908976284e-06
HCCS,-5.394614574408106e-06
TMEM160,-5.402188138419054e-06
TSEN34,-5.436740189403552e-06
LETM1,-5.4403480442118815e-06
ATG3,-5.461847320426683e-06
ARHGAP9,-5.578404587251132e-06
DONSON,-5.6137947511769795e-06
ACSBG1,-5.635622289838071e-06
ZDHHC7,-5.640820661599449e-06
AA467197,-5.6571888770266815e-06
EMP1,-5.774585627499063e-06
TRAPPC6B,-5.851912487736357e-06
TFDP1,-5.9667848277756945e-06
EXOC5,-5.968817591444847e-06
TYSND1,-6.086902058936478e-06
PGP,-6.091668882670988e-06
TMEM30A,-6.173578943078231e-06
AURKA,-6.213556166258423e-06
PRMT3,-6.2167469025606446e-06
PDF,-6.271072230302885e-06
FDX1L,-6.341188741997348e-06
