Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Amazon,https://companiesmarketcap.com/amazon,USA,Technology,40730000000,1500000,1.966E+12,2.0187E+11,-0.0115,96.5,3.42,5.7478E+11,5.2785E+11,1.3561E+11,3.2597E+11
Foxconn (Hon Hai Precision Industry),https://companiesmarketcap.com/foxconn,Taiwan,Technology,6160000000,826608,64750000000,54950000000,0.0255,16.1,0.3255,1.9832E+11,1.284E+11,30730000000,73440000000
Jingdong Mall,https://companiesmarketcap.com/jingdong-mall,China,Technology,4910000000,450679,42500000000,41350000000,0.0255,13.7,0.2839,1.5248E+11,86180000000,9750000000,44820000000
IBM,https://companiesmarketcap.com/ibm,USA,Technology,8690000000,288300,1.7042E+11,22610000000,0.0308,24.4,2.76,61850000000,1.3524E+11,59930000000,1.1262E+11
Panasonic,https://companiesmarketcap.com/panasonic,Japan,Technology,3170000000,232527,21530000000,30920000000,0.0487,7.18,0.3597,59640000000,63210000000,11300000000,32290000000
Alibaba,https://companiesmarketcap.com/alibaba,China,Technology,17300000000,224955,1.8712E+11,1.6162E+11,0.1682,15.9,1.43,1.308E+11,2.5761E+11,23470000000,95990000000
Microsoft,https://companiesmarketcap.com/microsoft,USA,Technology,1.0121E+11,221000,3.179E+12,2.3826E+11,0.4214,38.6,14,2.2758E+11,4.7055E+11,88370000000,2.3229E+11
Alphabet (Google),https://companiesmarketcap.com/alphabet-google,USA,Technology,86020000000,182381,1.991E+12,2.8337E+11,0.2549,30.6,6.48,3.0739E+11,4.0239E+11,28500000000,1.1901E+11
Canon,https://companiesmarketcap.com/canon,Japan,Technology,2860000000,180775,29020000000,23640000000,0.0936,15.1,0.9541,30040000000,37570000000,4920000000,13930000000
Oracle,https://companiesmarketcap.com/oracle,USA,Technology,14660000000,164000,3.3872E+11,6180000000,0.1802,35.5,6.45,52510000000,1.3708E+11,87980000000,1.309E+11
Apple,https://companiesmarketcap.com/apple,USA,Technology,1.2141E+11,161000,2.702E+12,74100000000,0.302,27.1,7.01,3.857E+11,3.5351E+11,1.0804E+11,2.7941E+11
Schneider Electric,https://companiesmarketcap.com/schneider-electric,France,Technology,5970000000,135000,1.2997E+11,30030000000,0.1381,26.5,2.82,39690000000,65110000000,15400000000,35080000000
Dell,https://companiesmarketcap.com/dell,USA,Technology,5380000000,133000,88530000000,-2570000000,0.0544,46.8,1,88420000000,83260000000,27450000000,85830000000
Tesla,https://companiesmarketcap.com/tesla,USA,Technology,10120000000,127855,5.5606E+11,63600000000,0.1435,51.2,5.75,96770000000,1.0661E+11,9570000000,43000000000
Genpact,https://companiesmarketcap.com/genpact,Bermuda,Technology,660000000,127000,5720000000,2240000000,0.1064,14.3,1.28,4470000000,4800000000,1500000000,2550000000
Intel,https://companiesmarketcap.com/intel,USA,Technology,1640000000,120300,1.6018E+11,1.0996E+11,0.1231,-94.1,2.95,54220000000,1.9157E+11,49270000000,81600000000
NEC Corp,https://companiesmarketcap.com/nec-corp,Japan,Technology,1450000000,118527,20160000000,14160000000,0.0584,22,0.8227,24330000000,29020000000,4740000000,14850000000
Sony,https://companiesmarketcap.com/sony,Japan,Technology,7960000000,113000,1.0381E+11,52980000000,0.0951,15.3,1.17,88970000000,2.3868E+11,31250000000,1.857E+11
SAP,https://companiesmarketcap.com/sap,Germany,Technology,7210000000,106495,2.1671E+11,47980000000,0.1772,34.9,6.4,33860000000,75550000000,9710000000,27560000000
Tencent,https://companiesmarketcap.com/tencent,China,Technology,35410000000,105309,3.7692E+11,1.1599E+11,0.4035,13.4,4.43,85000000000,2.1514E+11,52050000000,99150000000
Ericsson,https://companiesmarketcap.com/ericsson,Sweden,Technology,-1790000000,101351,16750000000,9670000000,0.0906,-7.82,0.6698,25010000000,29490000000,5390000000,19820000000
ASE Group,https://companiesmarketcap.com/ase-group,Taiwan,Technology,1620000000,93289,24160000000,9780000000,0.0973,19.4,1.25,19260000000,21740000000,6560000000,11950000000
Meituan,https://companiesmarketcap.com/meituan-dianping,China,Technology,1690000000,91932,81230000000,20630000000,,-56.4,2.23,37290000000,39850000000,8770000000,19220000000
TE Connectivity,https://companiesmarketcap.com/te-connectivity,Switzerland,Technology,2550000000,90000,45300000000,13240000000,0.1445,24.2,2.83,16020000000,23070000000,4190000000,9820000000
IQVIA,https://companiesmarketcap.com/iqvia,USA,Technology,2130000000,87000,43320000000,6110000000,0.1306,39.3,2.89,14980000000,26680000000,13890000000,20560000000
Nokia,https://companiesmarketcap.com/nokia,Finland,Technology,2020000000,86896,18970000000,22800000000,0.0912,4.62,0.7909,24160000000,44060000000,5730000000,21260000000
Cisco,https://companiesmarketcap.com/cisco,USA,Technology,16480000000,84900,2.0055E+11,46250000000,0.2807,16,3.5,57230000000,1.0117E+11,11600000000,54920000000
Lenovo,https://companiesmarketcap.com/lenovo,Hong Kong,Technology,1600000000,77000,13180000000,6110000000,,7.9,0.2451,55660000000,39500000000,4000000000,33390000000
Murata Manufacturing (Murata Seisakusho),https://companiesmarketcap.com/murata-seisakusho,Japan,Technology,1920000000,73164,34890000000,17670000000,0.1713,14.9,3.03,11220000000,21190000000,1160000000,3520000000
Telus International,https://companiesmarketcap.com/telus-international,Canada,Technology,200000000,73045,2380000000,2030000000,0.0769,23.6,0.8811,2700000000,4820000000,1750000000,2780000000
Lufax,https://companiesmarketcap.com/lufax,China,Technology,290000000,71034,5090000000,13160000000,0.1624,25.1,1.17,4610000000,36170000000,6010000000,23010000000
Salesforce,https://companiesmarketcap.com/salesforce,USA,Technology,4950000000,70843,2.9017E+11,59640000000,0.0315,186,8.32,34850000000,99820000000,12580000000,40170000000
Fidelity National Information Services,https://companiesmarketcap.com/fidelity-national-information-services,USA,Technology,-5920000000,69000,41590000000,19090000000,-1.5916,-1.81,3.39,12250000000,55100000000,19340000000,36000000000
Meta Platforms (Facebook),https://companiesmarketcap.com/meta-platforms,USA,Technology,47870000000,66185,1.333E+12,1.5316E+11,0.2379,45.5,9.89,1.349E+11,2.2962E+11,37230000000,76450000000
Sea (Garena),https://companiesmarketcap.com/sea,Singapore,Technology,820000000,63800,31670000000,6570000000,-0.0483,117,2.46,12890000000,18020000000,4610000000,11440000000
Automatic Data Processing,https://companiesmarketcap.com/automatic-data-processing,USA,Technology,4600000000,63000,1.004E+11,4310000000,0.258,28.9,5.68,17670000000,57060000000,3310000000,52740000000
Coupang,https://companiesmarketcap.com/coupang,South Korea,Technology,630000000,63000,34180000000,4080000000,0.0236,79.4,1.4,24380000000,13340000000,2780000000,9250000000
Hewlett Packard Enterprise,https://companiesmarketcap.com/hewlett-packard-enterprise,USA,Technology,2090000000,60200,23310000000,21460000000,0.0422,21.4,0.8304,28080000000,58600000000,12790000000,37130000000
Conduent,https://companiesmarketcap.com/conduent,USA,Technology,-340000000,59000,690000000,630000000,-0.0904,-1.11,0.1867,3720000000,3160000000,1490000000,2520000000
Infineon,https://companiesmarketcap.com/infineon,Germany,Technology,4150000000,58590,45300000000,19050000000,0.2474,14,2.64,17410000000,31360000000,6380000000,12310000000
HP,https://companiesmarketcap.com/hp,USA,Technology,3700000000,58000,28600000000,-1640000000,0.0705,12.5,0.5385,53110000000,35840000000,10930000000,37480000000
EPAM Systems,https://companiesmarketcap.com/epam-systems,USA,Technology,530000000,54600,15410000000,3470000000,0.1383,32.5,3.29,4690000000,4350000000,170000000,880000000
STMicroelectronics,https://companiesmarketcap.com/stmicroelectronics,Switzerland,Technology,4810000000,51370,38430000000,16850000000,0.3004,8.8,2.22,17280000000,24450000000,3170000000,7600000000
QUALCOMM,https://companiesmarketcap.com/qualcomm,USA,Technology,8730000000,50000,1.9544E+11,23050000000,0.3393,27.1,5.39,36290000000,52130000000,15480000000,29070000000
Sopra Steria Group,https://companiesmarketcap.com/sopra-steria-group,France,Technology,370000000,49690,4960000000,2120000000,,10.8,0.6955,6410000000,6710000000,1810000000,4580000000
Delivery Hero,https://companiesmarketcap.com/delivery-hero,Germany,Technology,-130000000,47208,9320000000,3290000000,-0.1636,-43.5,1.39,420000000,12690000000,6080000000,9400000000
Leidos,https://companiesmarketcap.com/leidos,USA,Technology,610000000,47000,17090000000,4250000000,0.0762,118,1.11,15430000000,12690000000,5190000000,8430000000
Constellation Software,https://companiesmarketcap.com/constellation-software,Canada,Technology,420000000,45000,57030000000,1960000000,,118,6.81,8400000000,10890000000,3680000000,8930000000
Micron Technology,https://companiesmarketcap.com/micron-technology,USA,Technology,-3680000000,43000,1.412E+11,43870000000,0.3111,-23.9,7.71,18310000000,65710000000,14310000000,21840000000
Baidu,https://companiesmarketcap.com/baidu,China,Technology,4010000000,41300,36080000000,37150000000,0.0817,16.5,1.94,18980000000,57540000000,11960000000,20390000000
Fiserv,https://companiesmarketcap.com/fiserv,USA,Technology,3890000000,41000,90420000000,30660000000,0.1737,31.9,4.74,19090000000,90890000000,23230000000,60220000000
MercadoLibre,https://companiesmarketcap.com/mercadolibre,Argentina,Technology,1550000000,40548,76420000000,3070000000,0.1068,76.6,5.28,14470000000,17640000000,5330000000,14570000000
ASML,https://companiesmarketcap.com/asml,Netherlands,Technology,10020000000,39850,3.9161E+11,14870000000,0.3436,47.8,13.1,29900000000,44170000000,5120000000,29300000000
NXP Semiconductors,https://companiesmarketcap.com/nxp-semiconductors,Netherlands,Technology,3790000000,34500,62660000000,8960000000,0.2871,22.9,4.72,13270000000,24350000000,11170000000,15390000000
Applied Materials,https://companiesmarketcap.com/applied-materials,USA,Technology,8360000000,34300,1.7696E+11,17420000000,0.2947,28,6.68,26480000000,31540000000,5980000000,14110000000
Sanmina,https://companiesmarketcap.com/sanmina,USA,Technology,410000000,34000,3300000000,2270000000,0.0406,11,0.3905,8450000000,4610000000,320000000,2340000000
LG Electronics,https://companiesmarketcap.com/lg-electronics,South Korea,Technology,1850000000,33716,11590000000,18160000000,0.0715,42.8,0.188,64040000000,46570000000,11220000000,28400000000
Seagate Technology,https://companiesmarketcap.com/seagate,Ireland,Technology,-640000000,33400,18600000000,-1820000000,-0.0671,-24.9,2.87,6470000000,7140000000,5660000000,8960000000
Xiaomi,https://companiesmarketcap.com/xiaomi,China,Technology,3160000000,33038,50730000000,22340000000,0.0465,36.7,1.36,37410000000,42120000000,3460000000,19770000000
Texas Instruments,https://companiesmarketcap.com/texas-instruments,USA,Technology,7770000000,33000,1.558E+11,16890000000,0.5008,21.9,8.89,17510000000,32340000000,11220000000,15450000000
Asseco,https://companiesmarketcap.com/asseco,Poland,Technology,320000000,32750,1350000000,880000000,0.1075,17.2,0.4359,3130000000,1220000000,230000000,330000000
Trip.com,https://companiesmarketcap.com/trip-dot-com,China,Technology,1960000000,32202,32920000000,17250000000,0.1314,35.7,5.95,5530000000,31750000000,7110000000,14500000000
Rakuten,https://companiesmarketcap.com/rakuten,Japan,Technology,-950000000,32079,12220000000,7560000000,-0.1066,-3.78,0.8429,14580000000,1.4471E+11,32180000000,1.3715E+11
Uber,https://companiesmarketcap.com/uber,USA,Technology,2320000000,32000,1.5857E+11,12680000000,-0.0109,-381,4.25,37280000000,38690000000,11190000000,26010000000
Amkor Technology,https://companiesmarketcap.com/amkor-technology,USA,Technology,500000000,31300,8240000000,3990000000,0.1026,20.3,1.27,6500000000,6770000000,1350000000,2770000000
NetEase,https://companiesmarketcap.com/netease,China,Technology,3580000000,31119,63380000000,17300000000,0.2513,17.3,4.42,14430000000,23950000000,1620000000,6640000000
ON Semiconductor,https://companiesmarketcap.com/on-semiconductor,USA,Technology,2530000000,31000,30340000000,7800000000,0.2871,13.7,3.68,8250000000,13210000000,3350000000,5410000000
Lumen,https://companiesmarketcap.com/lumen,USA,Technology,-10240000000,30000,1460000000,410000000,-0.0672,-0.125,0.1005,14550000000,34010000000,20250000000,33600000000
Amdocs,https://companiesmarketcap.com/amdocs,USA,Technology,660000000,30000,10170000000,3600000000,0.1386,18.6,2.06,4940000000,6470000000,800000000,2860000000
PayPal,https://companiesmarketcap.com/paypal,USA,Technology,5410000000,29900,70520000000,21050000000,0.1773,19.5,2.37,29770000000,82160000000,9670000000,61110000000
Jubilant FoodWorks,https://companiesmarketcap.com/jubilant-foodworks,India,Technology,37950000,29346,3640000000,250000000,0.0751,126,5.55,640000000,660000000,310000000,410000000
Adobe,https://companiesmarketcap.com/adobe,USA,Technology,6270000000,29239,2.1695E+11,16510000000,0.3412,43.4,10.9,19930000000,29770000000,4080000000,13260000000
Unimicron,https://companiesmarketcap.com/unimicron,Taiwan,Technology,500000000,29235,9240000000,3130000000,0.2374,16.8,2.74,3340000000,7040000000,990000000,3900000000
SS&C Technologies,https://companiesmarketcap.com/ssc-technologies,USA,Technology,1330000000,27600,15200000000,6390000000,0.2376,24.7,2.76,5500000000,18100000000,6910000000,11700000000
Globant,https://companiesmarketcap.com/globant,Luxembourg,Technology,210000000,27505,8640000000,1780000000,0.1122,57,4.12,2090000000,2730000000,270000000,940000000
Global Payments,https://companiesmarketcap.com/global-payments,USA,Technology,1830000000,27000,31760000000,23780000000,0.1639,37.3,3.29,9650000000,50570000000,17370000000,26780000000
NVIDIA,https://companiesmarketcap.com/nvidia,USA,Technology,34070000000,26196,2.265E+12,42970000000,0.1873,217,37.2,60920000000,65720000000,11050000000,22750000000
Analog Devices,https://companiesmarketcap.com/analog-devices,USA,Technology,3320000000,26000,98500000000,35540000000,0.2579,26.8,8.52,11560000000,48380000000,6990000000,12840000000
Coherent,https://companiesmarketcap.com/coherent,USA,Technology,-370000000,26000,7770000000,8140000000,-0.0151,-19.1,1.68,4620000000,14660000000,4390000000,6510000000
Yonyou,https://companiesmarketcap.com/yonyou,China,Technology,-110000000,25696,5290000000,1620000000,0.0446,-107,3.88,1380000000,3360000000,910000000,1730000000
Kuaishou Technology,https://companiesmarketcap.com/kuaishou-technology,China,Technology,260000000,25445,27220000000,6400000000,,-50.9,1.77,15490000000,13660000000,1590000000,7260000000
AMD,https://companiesmarketcap.com/amd,USA,Technology,590000000,25000,2.7555E+11,55890000000,0.0501,,12.1,22680000000,67880000000,3000000000,11990000000
Dassault Systèmes,https://companiesmarketcap.com/dassault-systemes,France,Technology,1510000000,24753,56070000000,8670000000,0.2304,51.9,8.74,6460000000,16160000000,3980000000,7490000000
TietoEVRY,https://companiesmarketcap.com/tietoevry,Finland,Technology,230000000,24539,2450000000,1780000000,0.0915,11.9,0.7933,3090000000,3880000000,1280000000,2100000000
OpenText,https://companiesmarketcap.com/opentext,Canada,Technology,680000000,24050,9610000000,4030000000,0.1476,64.1,1.69,5690000000,16440000000,8840000000,12410000000
Vishay Intertechnology,https://companiesmarketcap.com/vishay-intertechnology,USA,Technology,490000000,23900,3020000000,2200000000,0.1696,7.44,0.8903,3400000000,4230000000,940000000,2030000000
Rohm,https://companiesmarketcap.com/rohm,Japan,Technology,570000000,23743,5670000000,6660000000,0.2074,3.36,1.7,3330000000,10090000000,2410000000,3420000000
Booking Holdings (Booking.com),https://companiesmarketcap.com/booking-holdings,USA,Technology,5480000000,23450,1.243E+11,-2750000000,0.2869,25.1,5.82,21360000000,24340000000,14780000000,27080000000
Align Technology,https://companiesmarketcap.com/align-technology,USA,Technology,650000000,22680,24440000000,3630000000,0.1604,68.7,6.33,3860000000,6080000000,120000000,2450000000
Microchip Technology,https://companiesmarketcap.com/microchip-technology,USA,Technology,2960000000,22600,48240000000,7080000000,0.355,19.4,5.65,8540000000,16140000000,5720000000,9060000000
SMIC,https://companiesmarketcap.com/smic,China,Technology,1390000000,21619,21710000000,30580000000,,9.75,3.5,6320000000,46750000000,9630000000,16170000000
Diebold Nixdorf,https://companiesmarketcap.com/diebold-nixdorf,USA,Technology,-720000000,21000,1250000000,1070000000,-0.0129,-2.7,0.3524,3550000000,4160000000,1350000000,3080000000
Renesas Electronics,https://companiesmarketcap.com/renesas-electronics,Japan,Technology,3030000000,20996,31020000000,13750000000,0.3047,12.9,3.05,10340000000,22000000000,4630000000,8250000000
Wolters Kluwer,https://companiesmarketcap.com/wolters-kluwer,Netherlands,Technology,1430000000,20921,35950000000,1930000000,0.1947,37.1,5.59,6170000000,10050000000,4130000000,8120000000
DiDi,https://companiesmarketcap.com/didi,China,Technology,-56410000,20870,23660000000,15380000000,-0.2959,-6.63,0.9636,24550000000,18870000000,950000000,3490000000
Ubisoft,https://companiesmarketcap.com/ubisoft,France,Technology,-660000000,20665,2870000000,1670000000,0.0909,61.6,1.71,1970000000,5020000000,2620000000,3340000000
ServiceNow,https://companiesmarketcap.com/servicenow,USA,Technology,1030000000,20433,1.5812E+11,7620000000,0.0699,99.1,17.6,8970000000,17380000000,2280000000,9750000000
Xerox,https://companiesmarketcap.com/xerox,USA,Technology,-28000000,20100,2140000000,2770000000,-0.0332,16.1,0.3109,6880000000,10000000000,3450000000,7230000000
Broadcom,https://companiesmarketcap.com/broadcom,USA,Technology,14740000000,20000,6.4066E+11,70280000000,0.4604,41.3,16.5,38860000000,1.7787E+11,75900000000,1.0758E+11
United Microelectronics,https://companiesmarketcap.com/united-microelectronics,Taiwan,Technology,2760000000,20000,20720000000,10850000000,0.3806,8.86,2.73,7570000000,16970000000,2630000000,6110000000
CVS Health,https://companiesmarketcap.com/cvs-health,USA,Pharmaceuticals,13830000000,219000,87900000000,76630000000,0.018,10.5,0.2457,3.5777E+11,2.4972E+11,79380000000,1.7309E+11
Walgreens Boots Alliance,https://companiesmarketcap.com/walgreens-boots-alliance,USA,Pharmaceuticals,-13670000000,206000,15590000000,27750000000,0.03,-4.71,0.1078,1.4459E+11,97820000000,33730000000,70060000000
Johnson & Johnson,https://companiesmarketcap.com/johnson-and-johnson,USA,Pharmaceuticals,16970000000,152700,3.5855E+11,68770000000,0.2288,10.6,3.85,93020000000,1.6755E+11,29330000000,98780000000
Sinopharm,https://companiesmarketcap.com/sinopharm,China,Pharmaceuticals,2380000000,114766,7740000000,15590000000,,6.4,0.0992,61710000000,57590000000,13070000000,42000000000
Roche,https://companiesmarketcap.com/roche,Switzerland,Pharmaceuticals,16740000000,103605,1.9861E+11,39560000000,0.258,18.9,3.26,71880000000,1.076E+11,36610000000,68030000000
Novartis,https://companiesmarketcap.com/novartis,Switzerland,Pharmaceuticals,9430000000,101703,1.9283E+11,46750000000,0.1727,25.2,3.82,51010000000,99940000000,26340000000,53190000000
Bayer,https://companiesmarketcap.com/bayer,Germany,Pharmaceuticals,610000000,100873,28780000000,36570000000,0.092,-7.39,0.5506,51730000000,1.2853E+11,47400000000,91960000000
Sanofi,https://companiesmarketcap.com/sanofi,France,Pharmaceuticals,8390000000,91573,1.195E+11,82200000000,0.1821,14.7,2.32,50350000000,1.3981E+11,20360000000,57610000000
AstraZeneca,https://companiesmarketcap.com/astrazeneca,UK,Pharmaceuticals,8490000000,83500,2.1532E+11,39160000000,0.0563,35,4.7,45810000000,1.0111E+11,28620000000,61950000000
Pfizer,https://companiesmarketcap.com/pfizer,USA,Pharmaceuticals,3260000000,83000,1.4915E+11,89280000000,0.3461,14.2,2.55,58490000000,2.265E+11,70840000000,1.3721E+11
GlaxoSmithKline,https://companiesmarketcap.com/glaxo-smith-kline,UK,Pharmaceuticals,7530000000,69400,83960000000,16280000000,0.2254,11.7,2.21,37840000000,75110000000,22930000000,58820000000
Merck,https://companiesmarketcap.com/merck,USA,Pharmaceuticals,3030000000,67000,3.1949E+11,37630000000,0.2773,69.2,5.31,60110000000,1.0667E+11,35050000000,69040000000
China Resources Pharmaceutical Group,https://companiesmarketcap.com/china-resources-pharmaceutical-group,Hong Kong,Pharmaceuticals,1260000000,67000,3860000000,12170000000,,,0.1564,32580000000,34790000000,9740000000,22620000000
Merck KGaA,https://companiesmarketcap.com/merck-kgaa,Germany,Pharmaceuticals,3770000000,63297,71840000000,29570000000,0.1782,21.9,3.11,22770000000,53610000000,10900000000,24030000000
Novo Nordisk,https://companiesmarketcap.com/novo-nordisk,Denmark,Pharmaceuticals,15420000000,61412,5.595E+11,15780000000,0.3902,43.9,16.7,33810000000,46570000000,3990000000,30790000000
LabCorp,https://companiesmarketcap.com/labcorp,USA,Pharmaceuticals,770000000,60000,17370000000,7890000000,0.1063,27.5,1.35,12900000000,16720000000,5950000000,8830000000
Baxter,https://companiesmarketcap.com/baxter,USA,Pharmaceuticals,-47000000,60000,21450000000,8460000000,-0.1901,8.23,1.44,14940000000,28270000000,14360000000,19800000000
AbbVie,https://companiesmarketcap.com/abbvie,USA,Pharmaceuticals,6250000000,50000,2.9661E+11,10390000000,0.1865,45.5,5.46,54310000000,1.3471E+11,59380000000,1.2431E+11
Takeda Pharmaceutical,https://companiesmarketcap.com/takeda-pharmaceutical,Japan,Pharmaceuticals,2280000000,49095,42610000000,47830000000,0.1433,29.3,1.46,29340000000,1.009E+11,33090000000,53070000000
WuXi AppTec,https://companiesmarketcap.com/wuxi-apptec,China,Pharmaceuticals,1690000000,43800,17350000000,7850000000,,9.85,3.06,5680000000,10420000000,810000000,2560000000
ICON plc,https://companiesmarketcap.com/icon-plc,Ireland,Pharmaceuticals,620000000,41150,25770000000,9240000000,0.0718,49.8,3.17,8120000000,16980000000,3930000000,7740000000
Eli Lilly,https://companiesmarketcap.com/eli-lilly,USA,Pharmaceuticals,6550000000,39000,7.2219E+11,10860000000,0.2466,140,21.2,34120000000,64000000000,25220000000,53140000000
Sun Pharmaceutical,https://companiesmarketcap.com/sun-pharmaceutical,India,Pharmaceuticals,1270000000,38000,44320000000,7610000000,0.2162,44.6,8.18,5640000000,9560000000,230000000,1950000000
Viatris,https://companiesmarketcap.com/viatris,USA,Pharmaceuticals,770000000,38000,13740000000,20460000000,0.1729,7.56,0.8907,15420000000,47680000000,18370000000,27210000000
Bristol-Myers Squibb,https://companiesmarketcap.com/bristol-myers-squibb,USA,Pharmaceuticals,8440000000,34300,99550000000,29480000000,0.1924,12.4,2.21,45000000000,95150000000,41460000000,65670000000
Teva Pharmaceutical Industries,https://companiesmarketcap.com/teva-pharmaceutical-industries,Israel,Pharmaceuticals,400000000,34004,15540000000,8120000000,-0.2053,-6.94,0.9812,15840000000,43470000000,20150000000,35350000000
Otsuka Holdings,https://companiesmarketcap.com/otsuka-holdings,Japan,Pharmaceuticals,1050000000,33482,22610000000,17280000000,0.1203,17,1.57,14190000000,23840000000,1510000000,6560000000
CSL,https://companiesmarketcap.com/csl,Australia,Pharmaceuticals,2660000000,32065,88770000000,17820000000,0.2887,55.5,6.71,13170000000,36230000000,12220000000,18400000000
Sino Biopharmaceutical,https://companiesmarketcap.com/sino-biopharmaceutical,China,Pharmaceuticals,2060000000,26272,6540000000,5020000000,,16.7,1.74,3850000000,9050000000,1590000000,4020000000
Cipla,https://companiesmarketcap.com/cipla,India,Pharmaceuticals,630000000,25927,13550000000,3020000000,0.1966,33,4.56,3020000000,3770000000,110000000,750000000
Dr. Reddy's,https://companiesmarketcap.com/dr-reddys,India,Pharmaceuticals,850000000,25863,12140000000,3210000000,0.2469,19.6,3.7,3280000000,4470000000,230000000,1260000000
Amgen,https://companiesmarketcap.com/amgen,USA,Pharmaceuticals,7850000000,25200,1.4469E+11,6230000000,0.3459,19.1,5.13,28190000000,97150000000,64610000000,90920000000
Grifols,https://companiesmarketcap.com/grifols,Spain,Pharmaceuticals,360000000,24000,5460000000,9050000000,0.1125,9.55,0.798,6840000000,23310000000,11680000000,14250000000
Zydus Lifesciences,https://companiesmarketcap.com/zydus-lifesciences,India,Pharmaceuticals,460000000,23000,11610000000,2520000000,0.1611,39.2,5.36,2240000000,3110000000,23110000,590000000
Lupin Limited,https://companiesmarketcap.com/lupin,India,Pharmaceuticals,290000000,20933,8860000000,1600000000,0.0913,74,3.8,2310000000,2820000000,450000000,1220000000
Jiangsu Hengrui Medicine,https://companiesmarketcap.com/jiangsu-hengrui-medicine,China,Pharmaceuticals,600000000,20636,38860000000,5610000000,0.1847,68.3,12.5,3170000000,5980000000,12540000,370000000
Bausch Health,https://companiesmarketcap.com/bausch-health,Canada,Pharmaceuticals,-410000000,19900,3270000000,-82000000,0.0007,-3.38,0.3985,8220000000,27350000000,22380000000,27430000000
Clicks Group,https://companiesmarketcap.com/clicks-group,South Africa,Pharmaceuticals,180000000,18447,3690000000,310000000,,25.2,1.61,2220000000,1010000000,170000000,690000000
Lonza,https://companiesmarketcap.com/lonza,Switzerland,Pharmaceuticals,1560000000,18000,44190000000,11530000000,0.2327,27.7,5.4,6730000000,19650000000,3230000000,8120000000
Catalent,https://companiesmarketcap.com/catalent,USA,Pharmaceuticals,-1210000000,18000,10280000000,3680000000,0.046,-44.1,2.51,4090000000,9980000000,5010000000,6300000000
Daiichi Sankyō,https://companiesmarketcap.com/daiichi-sankyo,Japan,Pharmaceuticals,1380000000,17435,57950000000,11250000000,0.1108,53.8,5.35,10580000000,23190000000,810000000,11930000000
Gilead Sciences,https://companiesmarketcap.com/gilead-sciences,USA,Pharmaceuticals,6850000000,17000,85600000000,22740000000,0.2684,15.6,3.16,27110000000,62120000000,24980000000,39370000000
Alkem Laboratories,https://companiesmarketcap.com/alkem-laboratories,India,Pharmaceuticals,230000000,16966,6790000000,1230000000,0.1348,49.8,4.59,1500000000,1790000000,170000000,560000000
Divis Laboratories,https://companiesmarketcap.com/divis-laboratories,India,Pharmaceuticals,230000000,16543,12030000000,1520000000,0.3049,66.1,13.3,890000000,1720000000,600000,190000000
Ipca Laboratories,https://companiesmarketcap.com/ipca-laboratories,India,Pharmaceuticals,120000000,16167,4070000000,910000000,0.1351,67.7,4.69,860000000,1370000000,230000000,460000000
Aurobindo Pharma,https://companiesmarketcap.com/aurobindo-pharma,India,Pharmaceuticals,490000000,15431,7650000000,3390000000,0.1118,32.4,2.34,3330000000,5280000000,800000000,1890000000
Glenmark Pharmaceuticals,https://companiesmarketcap.com/glenmark,India,Pharmaceuticals,-39050000,15415,3560000000,1170000000,0.0957,114,2.38,1480000000,2400000000,620000000,1230000000
Biocon,https://companiesmarketcap.com/biocon,India,Pharmaceuticals,320000000,15000,3930000000,2920000000,0.1216,77.8,2.36,1690000000,6570000000,2190000000,3640000000
Alembic Pharmaceuticals,https://companiesmarketcap.com/alembic-pharma,India,Pharmaceuticals,75560000,14593,2310000000,530000000,0.0731,36.4,3.25,720000000,770000000,100000000,230000000
Astellas Pharma,https://companiesmarketcap.com/astellas-pharma,Japan,Pharmaceuticals,120000000,14484,18380000000,10660000000,0.0975,25,1.71,10860000000,23890000000,6170000000,13230000000
Zoetis,https://companiesmarketcap.com/zoetis,USA,Pharmaceuticals,2930000000,13800,74500000000,4990000000,0.3439,33.1,8.72,8540000000,14280000000,6750000000,9290000000
Torrent Pharmaceuticals,https://companiesmarketcap.com/torrent-pharmaceuticals,India,Pharmaceuticals,300000000,13247,10450000000,800000000,0.2291,64.3,8.39,1240000000,1770000000,540000000,960000000
Regeneron Pharmaceuticals,https://companiesmarketcap.com/regeneron-pharmaceuticals,USA,Pharmaceuticals,4190000000,12463,1.0101E+11,25970000000,0.3768,24.6,7.7,13110000000,33080000000,2700000000,7100000000
WuXi Biologics,https://companiesmarketcap.com/wuxi-biologics,China,Pharmaceuticals,770000000,12397,7470000000,5380000000,0.3509,91,14.7,2210000000,7190000000,700000000,1800000000
Richter Gedeon,https://companiesmarketcap.com/richter-gedeon,Hungary,Pharmaceuticals,440000000,12167,4860000000,2960000000,,17,1.42,3430000000,3680000000,100000000,710000000
Eisai,https://companiesmarketcap.com/eisai,Japan,Pharmaceuticals,520000000,11076,11310000000,5970000000,0.0871,17.8,2.11,5290000000,9300000000,1170000000,3320000000
West Pharmaceutical,https://companiesmarketcap.com/west-pharma,USA,Pharmaceuticals,690000000,10700,28370000000,2880000000,0.212,51.6,9.62,2940000000,3820000000,300000000,940000000
