,row_a1992_data
Gene_42,0.004260083453682345
Gene_26,0.00397970036432686
Gene_43,0.00225144253757939
Gene_18,0.001498424466702123
Gene_40,0.0014853527452713487
Gene_46,0.0014619495068911486
Gene_44,0.0010607943862551358
Gene_8,0.0009746451493199805
Gene_11,0.0009027355460995467
Gene_50,0.0006697908582015133
Gene_47,0.00045294479677175127
Gene_13,0.0003746870008932918
Gene_20,0.00036754728036169715
Gene_3,0.00022106321539310273
Gene_36,0.00013472886870365846
Gene_28,0.00011365822288706491
Gene_17,6.943726055651592e-05
Gene_19,4.62641055192605e-05
Gene_45,3.9111536481401064e-05
Gene_15,2.3445952881814445e-05
Gene_12,1.5887398041555356e-05
Gene_1,1.2066889125559015e-05
Gene_14,-2.904173294655506e-06
Gene_29,-1.9233856053592607e-05
Gene_21,-2.106876397213193e-05
Gene_31,-5.3940708144797076e-05
Gene_37,-8.511077894586528e-05
Gene_10,-0.00010104654568105637
Gene_30,-0.00011082807819530341
Gene_4,-0.00018261574153959873
Gene_34,-0.000199299176554042
Gene_49,-0.0003044470950215488
Gene_25,-0.000307621556719121
Gene_33,-0.00036313169233345125
Gene_24,-0.000398572987484675
Gene_32,-0.0005861181506636882
Gene_39,-0.0006252205214147969
Gene_7,-0.0008350962124398938
Gene_2,-0.0008726738514366235
Gene_27,-0.0009806739787366482
Gene_22,-0.0012807223487064498
Gene_9,-0.0013997070086900964
Gene_16,-0.0014556263006542795
Gene_5,-0.0015686040400620313
Gene_41,-0.001638633399174418
Gene_23,-0.0017383958504612902
Gene_6,-0.00201823772445715
Gene_35,-0.0022836972112536456
Gene_38,-0.0023733078637141734
Gene_48,-0.00718610904441374
