,row_a1916_data
Gene_14,0.008125298124458218
Gene_22,0.004068092138068691
Gene_50,0.0032548108824266096
Gene_12,0.003009045651309339
Gene_43,0.0013848808251321586
Gene_2,0.001322506575313298
Gene_36,0.0011240741725011983
Gene_13,0.0010485986491469436
Gene_46,0.0009192748751588897
Gene_27,0.0008623483696117572
Gene_37,0.0007998382772476469
Gene_1,0.0007271355247234386
Gene_35,0.0007150435655813962
Gene_7,0.0006890008210342418
Gene_34,0.0006126133734644804
Gene_38,0.0005056379410905494
Gene_30,5.2554280421908905e-05
Gene_39,5.07147652530533e-05
Gene_42,3.0617456443928696e-05
Gene_20,8.416378746508191e-06
Gene_6,1.5462338346937702e-06
Gene_17,-1.5069769759606846e-06
Gene_29,-3.017648173219648e-06
Gene_32,-1.946853388558789e-05
Gene_16,-5.883357575090149e-05
Gene_9,-6.79816922245103e-05
Gene_26,-9.920348066107818e-05
Gene_24,-0.00015369261362385526
Gene_44,-0.0001785952481035604
Gene_33,-0.00024716445591084187
Gene_15,-0.00041288777934071763
Gene_41,-0.00044680593132347514
Gene_47,-0.0005858080193413997
Gene_4,-0.0005923658064858443
Gene_19,-0.0006404015637556395
Gene_21,-0.000738801672150782
Gene_3,-0.0010687230894645115
Gene_23,-0.001203512280299876
Gene_11,-0.0013820951398525816
Gene_8,-0.0014302023871321373
Gene_5,-0.0015704481771509804
Gene_48,-0.0017203233562786777
Gene_31,-0.002478552945001034
Gene_28,-0.002699221048163038
Gene_40,-0.003064592954220993
Gene_10,-0.0036295731038065004
Gene_18,-0.004749313012299014
Gene_49,-0.0055092434512527206
Gene_25,-0.005980874799493574
Gene_45,-0.00708520669351844
