,row_a2417_data
Gene_26,0.011192596784871323
Gene_29,0.006573021457055508
Gene_43,0.005777641473726726
Gene_28,0.003710515627913036
Gene_2,0.0016144323954801476
Gene_45,0.0011252630112654361
Gene_30,0.0007557085159550013
Gene_31,0.0006804389811703314
Gene_5,0.0006388403228986322
Gene_16,0.0004514390177380763
Gene_32,0.00043241824364305447
Gene_25,0.00021818385652410126
Gene_48,0.0001829682836662894
Gene_19,0.00017139563754073437
Gene_20,0.00014496263453176177
Gene_21,5.749656098964426e-05
Gene_18,4.483869270611822e-06
Gene_39,-8.470582072459573e-06
Gene_11,-2.5179390817897532e-05
Gene_15,-2.5631845267018948e-05
Gene_36,-3.1924997996914724e-05
Gene_47,-3.787543514374627e-05
Gene_12,-5.260801709894216e-05
Gene_1,-8.89704970516228e-05
Gene_41,-8.920628799703235e-05
Gene_10,-0.00011054825567101303
Gene_44,-0.00011107307146123683
Gene_17,-0.00012883327208555034
Gene_50,-0.00013494658870375127
Gene_13,-0.0001801294716410487
Gene_38,-0.0002648127485148804
Gene_42,-0.0003513299475629279
Gene_6,-0.00043033719719366226
Gene_23,-0.0005322915588455933
Gene_9,-0.0005463553407067771
Gene_37,-0.0005875469464043685
Gene_34,-0.0007876957418687168
Gene_40,-0.0010591399692676745
Gene_4,-0.0011416743661181155
Gene_8,-0.0013258561340654578
Gene_33,-0.0014311075262326452
Gene_46,-0.0016493287363266891
Gene_22,-0.0017395830444651046
Gene_14,-0.0017611352808207309
Gene_27,-0.0019381060501713421
Gene_24,-0.0022797898490508534
Gene_3,-0.0024951548712846923
Gene_7,-0.0035661380151083897
Gene_35,-0.0044248859102226125
Gene_49,-0.005549511036638661
