,row_2012_data
Neoplasms,0.00023559967889131596
Alzheimer's disease and other dementias,0.00017593475909587837
Cardiovascular diseases,0.00016982914982201659
Chronic kidney disease,0.00012058521856123626
Diabetes mellitus,8.30660417026534e-05
Parkinson's disease,3.132900863495096e-05
Cirrhosis and other chronic liver diseases,1.185761090788124e-05
Digestive diseases,7.926599677489528e-06
Road injuries ,1.7493331876228366e-08
Conflict and terrorism,-1.2979699703718562e-07
Alcohol use disorders,-9.617851833018334e-07
Poisonings,-1.2335585674333544e-06
Chronic respiratory diseases,-2.2245469048681244e-06
Interpersonal violence,-4.420066436211094e-06
"Fire, heat, and hot substances",-4.929326513714388e-06
HIV/AIDS,-7.0923880768719e-06
Environmental heat and cold exposure,-7.220803427198253e-06
Self-harm,-1.284668315305903e-05
Malaria,-2.2594967067467034e-05
Acute hepatitis,-2.3392483910749046e-05
Maternal disorders,-2.5224380730732437e-05
Meningitis,-4.823264472513704e-05
Drowning,-8.093845475202555e-05
Neonatal disorders,-0.00015964679052375783
Tuberculosis,-0.00018994900663134849
Lower respiratory infections,-0.00019568712987193477
Exposure to forces of nature,-0.00023772908122137847
Protein-energy malnutrition,-0.0003026820109260607
Nutritional deficiencies,-0.000325803452418987
Diarrheal diseases,-0.0003966856837724431
