,row_2015_data
Neoplasms,0.00045783638153999284
Cardiovascular diseases,0.00037454569674504057
Alzheimer's disease and other dementias,0.000368278941205349
Chronic kidney disease,0.00023331576144325393
Diabetes mellitus,0.00020118075344346498
Parkinson's disease,6.16769349585872e-05
Conflict and terrorism,6.115513674923186e-05
Digestive diseases,1.1983295384157479e-05
Cirrhosis and other chronic liver diseases,1.0811265153410515e-05
Drug use disorders,5.177575885771329e-06
Alcohol use disorders,-1.8671004563418e-06
Poisonings,-5.182768300462251e-06
Environmental heat and cold exposure,-8.72182748124619e-06
"Fire, heat, and hot substances",-9.290900950967884e-06
Interpersonal violence,-1.0024808701642162e-05
Road injuries ,-1.9151630723247305e-05
Self-harm,-4.244031221088001e-05
Maternal disorders,-6.527177713724864e-05
Acute hepatitis,-6.892491330111642e-05
Meningitis,-0.000127901338341922
Drowning,-0.0001487799683947351
Exposure to forces of nature,-0.00015025641869299621
Malaria,-0.0001708548608277728
HIV/AIDS,-0.0001877739560935982
Lower respiratory infections,-0.0002574242111741975
Tuberculosis,-0.0003267357831222722
Protein-energy malnutrition,-0.00040890089929674386
Nutritional deficiencies,-0.00043848760449830904
Neonatal disorders,-0.00044131785324112455
Diarrheal diseases,-0.0008292942437265602
