,row_2010_data
Exposure to forces of nature,0.0009520466644255532
Neoplasms,0.00010299938514433775
Alzheimer's disease and other dementias,7.230185303948593e-05
Cardiovascular diseases,6.064323469793858e-05
Chronic kidney disease,5.4109401166903834e-05
HIV/AIDS,4.00964268569261e-05
Diabetes mellitus,2.9964745895127726e-05
Parkinson's disease,1.4531827020977417e-05
Cirrhosis and other chronic liver diseases,8.88544710292053e-06
Malaria,4.518782286842306e-06
Digestive diseases,3.6343829059975173e-06
Road injuries ,2.5813371731372103e-06
Poisonings,-1.8626156846225102e-07
Drug use disorders,-2.6795721860078294e-07
Environmental heat and cold exposure,-6.251724809355518e-07
"Fire, heat, and hot substances",-2.4858921633388664e-06
Interpersonal violence,-3.965578744240527e-06
Self-harm,-4.92505864970312e-06
Chronic respiratory diseases,-6.9671946550045475e-06
Maternal disorders,-1.1347786288626668e-05
Acute hepatitis,-1.4924574995189925e-05
Meningitis,-1.586178841433717e-05
Drowning,-5.152274632947096e-05
Neonatal disorders,-7.876160152902006e-05
Tuberculosis,-0.00012395756339342052
Conflict and terrorism,-0.00015348552865209814
Lower respiratory infections,-0.00016707280260625694
Protein-energy malnutrition,-0.00021265438816825682
Nutritional deficiencies,-0.000236235913231351
Diarrheal diseases,-0.0002417157380202985
