,row_2007_data
HIV/AIDS,0.0005091426171806913
Malaria,2.5970057809570116e-05
Neoplasms,1.0311406041017476e-05
Chronic kidney disease,8.008818120744702e-06
Cirrhosis and other chronic liver diseases,7.654656263016157e-06
Road injuries ,6.6210172864015885e-06
Diabetes mellitus,6.4420204047418105e-06
Alzheimer's disease and other dementias,3.826115183558777e-06
Digestive diseases,2.956484293399359e-06
Alcohol use disorders,2.9236311743240816e-06
Parkinson's disease,1.8863711084331973e-06
Cardiovascular diseases,1.3626049314224235e-06
Poisonings,4.918110524307882e-09
Environmental heat and cold exposure,-5.926746843327911e-08
"Fire, heat, and hot substances",-1.9863691181307524e-07
Drug use disorders,-3.8410322758031097e-07
Meningitis,-4.300708653127508e-07
Interpersonal violence,-1.0616744850898728e-06
Maternal disorders,-1.6006748479719497e-06
Acute hepatitis,-2.3867513872051146e-06
Chronic respiratory diseases,-3.699750336094167e-06
Neonatal disorders,-6.431737277545757e-06
Drowning,-1.8174821897587348e-05
Tuberculosis,-2.0247765164857078e-05
Diarrheal diseases,-5.9341160989814226e-05
Conflict and terrorism,-6.597606670711361e-05
Lower respiratory infections,-7.152957081055082e-05
Protein-energy malnutrition,-0.00013082388155435032
Exposure to forces of nature,-0.00013564061086972286
Nutritional deficiencies,-0.00014688114362541025
