,row_2016_data
Neoplasms,0.0005607708311540661
Cardiovascular diseases,0.00046116844938402096
Alzheimer's disease and other dementias,0.0004554951384109179
Chronic kidney disease,0.00027593543783039753
Diabetes mellitus,0.0002520655837226224
Parkinson's disease,7.164386203680601e-05
Conflict and terrorism,4.651899651273133e-05
Digestive diseases,1.5596870821897872e-05
Cirrhosis and other chronic liver diseases,1.2977486506862961e-05
Drug use disorders,1.1740462427530478e-05
Alcohol use disorders,-1.9301033376236857e-06
Poisonings,-6.983450405678178e-06
"Fire, heat, and hot substances",-1.0798476286471187e-05
Interpersonal violence,-1.4966908676062609e-05
Environmental heat and cold exposure,-1.7419660787235995e-05
Road injuries ,-2.9087454110425818e-05
Self-harm,-4.849298422049202e-05
Maternal disorders,-7.981793012213414e-05
Acute hepatitis,-8.573755404642702e-05
Meningitis,-0.00015210148300545537
Drowning,-0.0001716626409814289
Exposure to forces of nature,-0.0002479672804831818
HIV/AIDS,-0.00026268953205033237
Malaria,-0.00027361562054757996
Lower respiratory infections,-0.00030741443760093877
Tuberculosis,-0.00038523402229118835
Protein-energy malnutrition,-0.00044527514610220647
Nutritional deficiencies,-0.0004770710852658065
Neonatal disorders,-0.0006337357005488133
Diarrheal diseases,-0.000978296275317445
