,row_2004_data
Exposure to forces of nature,0.0010008328779990319
HIV/AIDS,0.0009436095835455224
Malaria,4.314239793714041e-05
Alcohol use disorders,7.426466117210848e-06
Road injuries ,4.028388584883505e-06
Environmental heat and cold exposure,2.468591061172388e-06
Neonatal disorders,2.207158799649863e-06
Self-harm,1.6889367284795209e-06
Interpersonal violence,1.0407297509659578e-06
Poisonings,5.341687658287506e-07
Cirrhosis and other chronic liver diseases,3.367126946148631e-07
Meningitis,2.9886635817454125e-07
Maternal disorders,1.2160715670239778e-07
"Fire, heat, and hot substances",1.0656267616312466e-07
Acute hepatitis,-3.934888485113986e-08
Digestive diseases,-3.062043924211943e-07
Drowning,-1.7894826739235544e-06
Parkinson's disease,-1.8040478009083714e-06
Drug use disorders,-2.0174268333975293e-06
Diabetes mellitus,-2.703652272858587e-06
Chronic respiratory diseases,-2.87567111406016e-06
Chronic kidney disease,-5.488463878267991e-06
Diarrheal diseases,-1.3476613901855245e-05
Neoplasms,-1.4275951102820207e-05
Cardiovascular diseases,-1.4893388512350527e-05
Alzheimer's disease and other dementias,-2.2942816914737433e-05
Lower respiratory infections,-2.672843248548119e-05
Protein-energy malnutrition,-4.513864927618264e-05
Nutritional deficiencies,-5.4549100475746195e-05
Conflict and terrorism,-6.799438981213422e-05
