,row_1996_data
Diarrheal diseases,0.0004056768444949221
Nutritional deficiencies,0.0003600798343437995
Protein-energy malnutrition,0.0003359098620028542
Lower respiratory infections,0.00024464609180122054
Neonatal disorders,0.0002265732806888605
Tuberculosis,0.00016452578485308747
Drowning,9.025755063722999e-05
Meningitis,6.805115769334283e-05
Acute hepatitis,2.9377651839433992e-05
Maternal disorders,2.505242731518022e-05
Self-harm,2.358571580270629e-05
Malaria,2.117612950356708e-05
Interpersonal violence,7.922112323863965e-06
Environmental heat and cold exposure,7.1955450247589955e-06
"Fire, heat, and hot substances",5.025142182584418e-06
Chronic respiratory diseases,2.0475536400617767e-06
Poisonings,1.8522395224688503e-06
Road injuries ,8.360813640534241e-07
Alcohol use disorders,4.838770842197483e-07
Digestive diseases,-9.845855508081448e-06
Conflict and terrorism,-1.220946021923252e-05
Cirrhosis and other chronic liver diseases,-1.387880526738342e-05
HIV/AIDS,-2.316264234167374e-05
Parkinson's disease,-4.917983024360916e-05
Exposure to forces of nature,-0.00013900035509671935
Diabetes mellitus,-0.00014658272533274496
Chronic kidney disease,-0.00018914735478718224
Cardiovascular diseases,-0.00021299945129405785
Alzheimer's disease and other dementias,-0.0002534149863226943
Neoplasms,-0.0002929590939963287
