,row_2008_data
Exposure to forces of nature,0.000924935679607429
HIV/AIDS,0.00026975853753211836
Neoplasms,2.3692775493187315e-05
Chronic kidney disease,1.7410825831422924e-05
Malaria,1.5350098308533915e-05
Alzheimer's disease and other dementias,1.3965851416918148e-05
Diabetes mellitus,1.1809150602698005e-05
Cirrhosis and other chronic liver diseases,8.284782951315276e-06
Cardiovascular diseases,6.887386505634047e-06
Road injuries ,5.342826036894299e-06
Parkinson's disease,4.726647716238455e-06
Digestive diseases,3.0188643876346882e-06
Alcohol use disorders,1.1064429000081716e-06
Drug use disorders,-3.7476387095361914e-07
Environmental heat and cold exposure,-8.621832682651025e-07
"Fire, heat, and hot substances",-8.769589492073438e-07
Self-harm,-1.0216370418580153e-06
Interpersonal violence,-1.5871634937135866e-06
Chronic respiratory diseases,-3.784481881735635e-06
Meningitis,-4.186406549511467e-06
Maternal disorders,-4.838753769843373e-06
Acute hepatitis,-5.609576804447582e-06
Neonatal disorders,-2.4924454070293037e-05
Drowning,-2.9586668657471905e-05
Tuberculosis,-4.265272783365794e-05
Conflict and terrorism,-9.652683129023477e-05
Diarrheal diseases,-0.00010206845399529652
Lower respiratory infections,-0.00010390381251159818
Protein-energy malnutrition,-0.000171593180283687
Nutritional deficiencies,-0.00018946924940419158
