,row_2019_data
Neoplasms,0.0009364594979419973
Cardiovascular diseases,0.0007778402755729084
Alzheimer's disease and other dementias,0.0007080584802438379
Diabetes mellitus,0.00038687607701047176
Chronic kidney disease,0.00036162216790956367
Parkinson's disease,0.0001064817125526064
Drug use disorders,2.7236512235616426e-05
Digestive diseases,2.2328955271879673e-05
Cirrhosis and other chronic liver diseases,1.7262885816865048e-05
Chronic respiratory diseases,8.786391370947688e-06
"Fire, heat, and hot substances",-1.430509274781799e-05
Poisonings,-1.4707095729052025e-05
Environmental heat and cold exposure,-2.16580299448157e-05
Interpersonal violence,-2.7761300965218033e-05
Road injuries ,-5.856591122098203e-05
Self-harm,-6.080856613022547e-05
Maternal disorders,-0.00011831374250726595
Acute hepatitis,-0.00012093805517080029
Conflict and terrorism,-0.00013005614194699032
Drowning,-0.0002421406688674219
Meningitis,-0.00026673571956460347
Exposure to forces of nature,-0.00030382674799311546
Malaria,-0.000379826235190146
Lower respiratory infections,-0.0004789228221199881
Protein-energy malnutrition,-0.0006064454276726574
Nutritional deficiencies,-0.00064550370235313
Tuberculosis,-0.00066089356967329
HIV/AIDS,-0.0006937097624866223
Neonatal disorders,-0.0013877767750076686
Diarrheal diseases,-0.0015087213555670474
