,row_2013_data
Neoplasms,0.0002935200703971276
Alzheimer's disease and other dementias,0.0002345055623572546
Cardiovascular diseases,0.00022657065719640206
Chronic kidney disease,0.0001591788269286196
Diabetes mellitus,0.00011756515740837261
Parkinson's disease,4.242196616746353e-05
Cirrhosis and other chronic liver diseases,1.0444679592252939e-05
Digestive diseases,8.852980142208555e-06
Drug use disorders,3.3797945333136764e-07
Chronic respiratory diseases,-3.3647975953467603e-07
Alcohol use disorders,-1.480377433246711e-06
Poisonings,-2.030875307572706e-06
Road injuries ,-2.391218315881484e-06
"Fire, heat, and hot substances",-5.758839941152216e-06
Interpersonal violence,-6.486702347650245e-06
Environmental heat and cold exposure,-1.0774682386914324e-05
Self-harm,-2.2168597089918343e-05
Maternal disorders,-3.218153485542275e-05
Acute hepatitis,-3.6268661358977944e-05
HIV/AIDS,-5.0316545693829e-05
Exposure to forces of nature,-5.7866262369059914e-05
Meningitis,-6.918991242858494e-05
Malaria,-7.694803613261998e-05
Drowning,-0.00010403691429071774
Lower respiratory infections,-0.00020166524773846837
Tuberculosis,-0.00021866626693510657
Neonatal disorders,-0.00021966118091661622
Protein-energy malnutrition,-0.0003352775183573036
Nutritional deficiencies,-0.0003604918302492575
Diarrheal diseases,-0.0005065642372872573
