,row_2000_data
HIV/AIDS,0.00038412001561047987
Diarrheal diseases,9.506897558300177e-05
Tuberculosis,9.125993783480656e-05
Protein-energy malnutrition,8.72020540448762e-05
Nutritional deficiencies,8.257308756030163e-05
Neonatal disorders,5.6298923718794795e-05
Lower respiratory infections,2.2423413214444905e-05
Drowning,2.11479673883392e-05
Self-harm,1.672998296416194e-05
Meningitis,1.4182863221799929e-05
Maternal disorders,1.3749758372693142e-05
Malaria,9.681682531465039e-06
Acute hepatitis,9.366535167166189e-06
Interpersonal violence,8.747430546971992e-06
Conflict and terrorism,4.299721395256174e-06
Environmental heat and cold exposure,2.504857776176303e-06
"Fire, heat, and hot substances",1.9877050227231716e-06
Alcohol use disorders,1.6536935365053443e-06
Road injuries ,1.5772081009341919e-06
Chronic respiratory diseases,7.364213344168333e-07
Drug use disorders,4.61246947999936e-07
Cirrhosis and other chronic liver diseases,-6.497730592679727e-06
Digestive diseases,-7.466304149660399e-06
Parkinson's disease,-1.979530228197321e-05
Diabetes mellitus,-4.953564780884386e-05
Chronic kidney disease,-6.256930347302162e-05
Cardiovascular diseases,-0.00010970956730042142
Neoplasms,-0.00011726910510821047
Alzheimer's disease and other dementias,-0.00013036167738653516
Exposure to forces of nature,-0.00023034156564481282
