,row_2011_data
Neoplasms,0.00017056135076997866
Alzheimer's disease and other dementias,0.00012107170048982906
Cardiovascular diseases,0.00011728674022250946
Chronic kidney disease,8.802205441298789e-05
Diabetes mellitus,5.2771677817974776e-05
Parkinson's disease,2.2610063841840508e-05
Cirrhosis and other chronic liver diseases,1.1665692617205564e-05
Digestive diseases,6.9624880474857855e-06
HIV/AIDS,4.581920635946305e-06
Road injuries ,1.062792833568841e-06
Malaria,-2.3043742142850852e-07
Alcohol use disorders,-3.5556205312939606e-07
Poisonings,-5.466207117581642e-07
Chronic respiratory diseases,-2.845135976820316e-06
"Fire, heat, and hot substances",-3.4919948470286477e-06
Interpersonal violence,-5.360036831576759e-06
Environmental heat and cold exposure,-6.655626307687404e-06
Self-harm,-7.285495782336513e-06
Maternal disorders,-1.5893705033242865e-05
Acute hepatitis,-1.9412394204533907e-05
Meningitis,-2.9822710213171734e-05
Exposure to forces of nature,-3.364348908181257e-05
Drowning,-6.819077048197595e-05
Conflict and terrorism,-0.00010679744597024847
Neonatal disorders,-0.00011240958964281195
Tuberculosis,-0.00016464508935300887
Lower respiratory infections,-0.00018422345376856337
Protein-energy malnutrition,-0.0002384226282815177
Nutritional deficiencies,-0.0002621826022087795
Diarrheal diseases,-0.00027726867276272986
