,row_2001_data
HIV/AIDS,0.0005757810404576455
Tuberculosis,5.616855792451377e-05
Protein-energy malnutrition,4.9827340857363936e-05
Nutritional deficiencies,4.4195528445501245e-05
Diarrheal diseases,4.414212574901932e-05
Neonatal disorders,3.27575474894442e-05
Malaria,2.197182234296843e-05
Drowning,1.009526101363462e-05
Maternal disorders,8.745925936382606e-06
Meningitis,8.421284377236216e-06
Interpersonal violence,7.541027915028024e-06
Self-harm,6.055261936851314e-06
Acute hepatitis,5.0835545940601615e-06
Alcohol use disorders,3.278439344733735e-06
Environmental heat and cold exposure,3.1713232196427287e-06
Lower respiratory infections,2.747852607514151e-06
Road injuries ,2.084479921649258e-06
"Fire, heat, and hot substances",1.485187055773252e-06
Poisonings,4.1887456340994073e-07
Chronic respiratory diseases,3.452851987100641e-07
Cirrhosis and other chronic liver diseases,-3.0418505344618845e-06
Digestive diseases,-4.641288601041718e-06
Parkinson's disease,-1.2968495846160438e-05
Diabetes mellitus,-3.142676004018615e-05
Exposure to forces of nature,-3.8128266694266455e-05
Chronic kidney disease,-4.123415482946676e-05
Cardiovascular diseases,-6.96350391122375e-05
Conflict and terrorism,-7.620508500872373e-05
Neoplasms,-8.785773101360446e-05
Alzheimer's disease and other dementias,-9.785342767714691e-05
