,document,element,frequency_in_document
0,Miro,cost,-0.001772211720226843
1,Noda,cost,0.0004343912414399773
2,Miro,impact,-0.0016808031295902708
3,Noda,impact,0.0006637830797721082
4,Miro,college,-0.0014192622747579982
5,Noda,college,0.0004789700496928061
6,Miro,savings,-0.0014177693761814746
7,Noda,savings,0.0003475129931519819
8,Miro,benefits,-0.0013204140259268696
9,Noda,benefits,0.0005755115266242844
10,Miro,importance,-0.0012433281752198015
11,Noda,importance,0.0005391618449621213
12,Miro,economic,-0.0011814744801512287
13,Noda,economic,0.00028959416095998493
14,Miro,reduction,-0.0010190949753299022
15,Noda,reduction,0.00047379947072248964
16,Miro,examples,-0.0008270321361058601
17,Noda,examples,0.00020271591267198992
18,Miro,lake,-0.0008270321361058601
19,Noda,lake,0.00020271591267198992
20,Miro,current,-0.0007088846880907373
21,Noda,current,0.00017375649657599095
22,Miro,money,-0.0007088846880907373
23,Noda,money,0.00017375649657599095
24,Miro,donating,-0.0007088846880907373
25,Noda,donating,0.00017375649657599095
26,Miro,research,-0.0007055745095912424
27,Noda,research,0.0002934464306856491
28,Miro,recycling,-0.0006990318689216685
29,Noda,recycling,0.0004284175585545758
30,Miro,spending,-0.0005907372400756144
31,Miro,pros,-0.0005907372400756144
32,Miro,portion,-0.0005907372400756144
33,Miro,control,-0.0005907372400756144
34,Miro,definition,-0.0005907372400756144
35,Miro,limited,-0.0005907372400756144
36,Miro,heating,-0.0005907372400756144
37,Miro,collaboration,-0.0005602677098634236
38,Noda,collaboration,0.0002212610265907029
39,Miro,strategies,-0.0005436113834375073
40,Noda,strategies,0.00023747649846389812
41,Miro,goals,-0.0005407567901153884
42,Noda,goals,0.00017885727301369833
43,Miro,ideas,-0.0004935728246368203
44,Noda,ideas,0.00018544313201166623
45,Miro,programs,-0.00043658707263460406
46,Noda,programs,0.0002567068231546512
47,Miro,sustainability,-0.00041858051342187185
48,Noda,sustainability,0.00031607204402349983
49,Miro,environmental,-0.00040691852507661764
50,Noda,environmental,0.00027129898706069414
51,Miro,how,-0.0003919596058961162
52,Noda,how,0.00018223056566249538
53,Miro,efficiency,-0.0003919596058961162
54,Noda,efficiency,0.00018223056566249538
55,Miro,waste,-0.0003871835469417212
56,Noda,waste,0.0002867223677947557
57,Miro,initiatives,-0.0003743636567325123
58,Noda,initiatives,0.00025081431539281953
59,Miro,brand,-0.00035444234404536864
60,Miro,sustenability,-0.00035444234404536864
61,Miro,resistance,-0.00035444234404536864
62,Miro,cons,-0.00035444234404536864
63,Miro,evaluating,-0.00035444234404536864
64,Miro,fundraisers,-0.00035444234404536864
65,Miro,bow,-0.00035444234404536864
66,Miro,study,-0.00035444234404536864
67,Miro,image,-0.00035444234404536864
68,Miro,positive,-0.00035444234404536864
69,Miro,humanities,-0.00035444234404536864
70,Miro,term,-0.0003413068604242401
71,Miro,increase,-0.00033099400920818937
72,Miro,education,-0.0003198280488934858
73,Noda,education,0.00019089054903141819
74,Miro,panels,-0.0003198280488934858
75,Noda,panels,0.00019089054903141819
76,Miro,types,-0.00031587624974549646
77,Miro,social,-0.00031587624974549646
78,Miro,local,0.00031468793370524324
79,Noda,local,-0.0005217977476103303
80,Miro,challenges,-0.00031356768471689305
81,Miro,involvement,-0.0003105277946649568
82,Miro,create,0.00030242777558115233
83,Noda,create,-0.0012338325391422736
84,Miro,about,0.0002937896712994003
85,Noda,about,-0.0006896353187220039
86,Miro,fashion,0.0002815706876100391
87,Noda,fashion,-0.0011487406398910823
88,Miro,projects,-0.00027939565049370024
89,Noda,projects,0.00017538521961404658
90,Miro,organize,0.0002711421436244814
91,Noda,organize,-0.0011061946902654867
92,Miro,their,0.00026071359963892443
93,Noda,their,-0.0010636487406398912
94,Miro,eco,0.00025362449054531946
95,Noda,eco,-0.0005752569317143055
96,Miro,such,0.0002502850556533675
97,Noda,such,-0.0010211027910142954
98,Miro,future,-0.00024678641231841013
99,Miro,team,-0.00024678641231841013
100,Miro,swipe,-0.00024678641231841013
101,Miro,donation,-0.00024678641231841013
102,Miro,rain,-0.00024306849701611358
103,Miro,funding,-0.00024306849701611358
104,Miro,implementing,-0.00023768249357730063
105,Miro,waban,-0.00023629489603024575
106,Miro,n,-0.00023629489603024575
107,Miro,value,-0.00023629489603024575
108,Miro,limitations,-0.00023629489603024575
109,Miro,sustanibility,-0.00023629489603024575
110,Miro,lids,-0.00023629489603024575
111,Miro,mosr,-0.00023629489603024575
112,Miro,ride,-0.00023629489603024575
113,Miro,needed,-0.00023629489603024575
114,Miro,plasric,-0.00023629489603024575
115,Miro,resource,-0.00023629489603024575
116,Miro,rrr,-0.00023629489603024575
117,Miro,schoolwide,-0.00023629489603024575
118,Miro,renovations,-0.00023629489603024575
119,Miro,securing,-0.00023629489603024575
120,Miro,shower,-0.00023629489603024575
121,Miro,reductiom,-0.00023629489603024575
122,Miro,reduces,-0.00023629489603024575
123,Miro,stakeholder,-0.00023629489603024575
124,Miro,active,-0.00023629489603024575
125,Miro,radiator,-0.00023629489603024575
126,Miro,submit,-0.00023629489603024575
127,Miro,projecrs,-0.00023629489603024575
128,Miro,professionals,-0.00023629489603024575
129,Miro,suited,-0.00023629489603024575
130,Miro,prizws,-0.00023629489603024575
131,Miro,ppl,-0.00023629489603024575
132,Miro,responsibility,-0.00023629489603024575
133,Miro,pollution,-0.00023629489603024575
134,Miro,potential,-0.00023629489603024575
135,Miro,info,-0.00023629489603024575
136,Miro,being,-0.00023629489603024575
137,Miro,fauna,-0.00023629489603024575
138,Miro,conserving,-0.00023629489603024575
139,Miro,behavioral,-0.00023629489603024575
140,Miro,bathroom,-0.00023629489603024575
141,Miro,assessing,-0.00023629489603024575
142,Miro,care,-0.00023629489603024575
143,Miro,evaluation,-0.00023629489603024575
144,Miro,assess,-0.00023629489603024575
145,Miro,assemble,-0.00023629489603024575
146,Miro,es,-0.00023629489603024575
147,Miro,engaging,-0.00023629489603024575
148,Miro,case,-0.00023629489603024575
149,Miro,analysis,-0.00023629489603024575
150,Miro,buckets,-0.00023629489603024575
151,Miro,cleanup,-0.00023629489603024575
152,Miro,adjusting,-0.00023629489603024575
153,Miro,heads,-0.00023629489603024575
154,Miro,hiring,-0.00023629489603024575
155,Miro,ind,-0.00023629489603024575
156,Miro,coffee,-0.00023629489603024575
157,Miro,cup,-0.00023629489603024575
158,Miro,adjust,-0.00023629489603024575
159,Miro,addressing,-0.00023629489603024575
160,Miro,convenient,-0.00023629489603024575
161,Miro,contamination,-0.00023629489603024575
162,Miro,increased,-0.00023629489603024575
163,Miro,ways,-0.00023517576353766973
164,Miro,promote,0.00023366967872634438
165,Noda,promote,-0.0005198884318769514
166,Miro,progress,-0.00023329513073323948
167,Miro,zero,0.0002294279676822536
168,Noda,zero,-0.0009360108917631041
169,Miro,encouraging,0.0002189994236966972
170,Noda,encouraging,-0.0008934649421375085
171,Miro,develop,0.0002189994236966972
172,Noda,develop,-0.0008934649421375085
173,Miro,clubs,0.0002189994236966972
174,Noda,clubs,-0.0008934649421375085
175,Miro,transportation,-0.00020987521896266602
176,Miro,establish,0.00020857087971114013
177,Noda,establish,-0.0008509189925119128
178,Miro,program,0.00020621501702310096
179,Noda,program,-0.00037962675012630264
180,Miro,lighting,-0.0002014658042028474
181,Miro,workshops,0.00020105142588044164
182,Noda,workshops,-0.00035067290638493467
183,Miro,club,0.0001976188429431725
184,Noda,club,-0.0004964245915655962
185,Miro,efficient,-0.0001945770643715513
186,Miro,host,0.0001877137917400256
187,Noda,host,-0.0007658270932607216
188,Miro,educate,0.0001874289907609169
189,Noda,educate,-0.0004652551657162257
190,Miro,where,0.0001874289907609169
191,Noda,where,-0.0004652551657162257
192,Miro,friendly,0.0001849767701751656
193,Noda,friendly,-0.00035452265177286183
194,Miro,students,0.00018434191701294494
195,Noda,students,-0.0002722128974767526
196,Miro,technology,-0.0001777359776708959
197,Miro,dorm,-0.0001777359776708959
198,Miro,harvesting,-0.00016799026215113128
199,Miro,focused,0.00016685670376891164
200,Noda,focused,-0.0006807351940095302
201,Miro,through,0.00016685670376891164
202,Noda,through,-0.0006807351940095302
203,Miro,vehicle,-0.00016549700460409468
204,Miro,culture,-0.00016549700460409468
205,Miro,more,-0.00016108765378440083
206,Miro,science,-0.00015793812487274823
207,Miro,understanding,-0.00015793812487274823
208,Miro,run,-0.00015793812487274823
209,Miro,individual,-0.00015793812487274823
210,Miro,planning,-0.00015793812487274823
211,Miro,monitoring,-0.00015793812487274823
212,Miro,donations,-0.00015793812487274823
213,Miro,recycle,-0.00015793812487274823
214,Miro,materials,0.00015698849257574522
215,Noda,materials,-0.00037422759454559194
216,Miro,financial,-0.00015678384235844652
217,Miro,government,-0.00015678384235844652
218,Miro,featuring,0.0001564281597833547
219,Noda,featuring,-0.0006381892443839347
220,Miro,consumption,0.0001564281597833547
221,Noda,consumption,-0.0006381892443839347
222,Miro,challenge,0.0001564281597833547
223,Noda,challenge,-0.0006381892443839347
224,Miro,living,0.0001564281597833547
225,Noda,living,-0.0006381892443839347
226,Miro,spaces,0.0001564281597833547
227,Noda,spaces,-0.0006381892443839347
